Formula,SG,N_atoms,gemini-3-pro_parse,gemini-3-pro_match,claude-opus-4-6_parse,claude-opus-4-6_match,gpt-5-chat_parse,gpt-5-chat_match
C,166,4,✓,✗,✓,✗,✗,✗
Si,227,2,✗,✗,✓,✓,✗,✗
GaAs,216,2,✓,✓,✓,✓,✓,✗
ZnO,186,4,✓,✗,✓,✓,✓,✗
BN,194,4,✗,✗,✓,✗,✓,✗
LiCoO2,227,16,✓,✗,✓,✗,✓,✗
Bi2Te3,166,5,✓,✓,✓,✓,✓,✗
Ba(FeAs)2,139,5,✓,✓,✓,✓,✓,✗
SiO2,122,6,✓,✗,✓,✗,✓,✗
VO2,136,6,✓,✗,✓,✓,✗,✗
La2CuO4,139,7,✓,✗,✓,✗,✓,✗
LiPF6,148,8,✓,✓,✓,✗,✓,✗
Al2O3,167,10,✓,✗,✓,✓,✓,✗
SrTiO3,140,10,✓,✗,✓,✗,✓,✗
CaCO3,167,10,✗,✗,✓,✓,✓,✗
TiO2,12,12,✓,✗,✓,✗,✗,✗
ZrO2,14,12,✓,✓,✓,✓,✓,✗
ZrTe5,63,12,✓,✓,✓,✗,✓,✗
V2O5,59,14,✗,✗,✓,✗,✓,✗
Si3N4,176,14,✓,✓,✓,✗,✓,✗
Fe3O4,227,14,✓,✗,✓,✗,✓,✗
Mn(FeO2)2,227,14,✗,✗,✓,✗,✓,✗
ZnSb,61,16,✓,✓,✓,✗,✓,✗
CoSb3,204,16,✓,✗,✓,✓,✓,✗
LiBF4,152,18,✓,✗,✓,✗,✗,✗
Y2Co17,166,19,✓,✓,✓,✗,✓,✗
GeH4,13,20,✓,✗,✓,✗,✓,✗
CsPbI3,62,20,✓,✗,✓,✗,✓,✗
NaCaAlPHO5F2,11,24,✗,✗,✓,✗,✗,✗
LiFePO4,62,28,✓,✓,✓,✓,✓,✗
Cu12Sb4S13,217,29,✓,✓,✓,✗,✓,✗
MgB7,74,32,✓,✗,✗,✗,✓,✗
Li3PS4,62,32,✓,✗,✓,✗,✗,✗
Cd3As2,142,80,✗,✗,✗,✗,✓,✗
Li4Ti5O12,15,42,✓,✗,✗,✗,✓,✗
Ba2CaSi4(BO7)2,121,46,✗,✗,✗,✗,✓,✗
Ag8GeS6,33,60,✓,✗,✓,✗,✓,✗
Nd2Fe14B,136,68,✓,✗,✓,✗,✓,✗
Y3Al5O12,230,80,✓,✗,✓,✗,✓,✗
Ca14MnSb11,142,104,✗,✗,✗,✗,✓,✗
