formula,struct_match,spg_match,gt_spg,pred_spg,relaxed_ehull,gt_ehull,status
Ag8GeS6,False,False,33,1.0,0.2782116561686205,,success
Al2O3,False,False,167,1.0,0.8365562577446841,,success
BN,False,False,194,1.0,0.6819972381835937,,success
Ba(FeAs)2,False,False,139,123.0,0.7705567140415717,,success
Ba2CaSi4(BO7)2,False,False,121,1.0,1.662972546492865,,success
Bi2Te3,False,False,166,191.0,0.5150631911621093,,success
Ca14MnSb11,False,False,142,,,,skipped
CaCO3,False,False,167,1.0,0.6306820272714138,,success
Cd3As2,False,False,142,1.0,0.2107980950927737,,success
CoSb3,False,False,204,1.0,0.3174843939302887,,success
CsPbI3,False,False,62,,,,error
Cu12Sb4S13,False,False,217,1.0,0.3565233126860079,,success
Fe3O4,False,False,227,8.0,2.497846650797526,,success
GaAs,True,False,216,160.0,0.0072750628662108,,success
GeH4,False,False,13,8.0,0.5259188622911242,,success
La2CuO4,False,False,139,1.0,0.37968779208712,,success
Li4Ti5O12,False,False,15,1.0,37.23793580533854,,success
LiCoO2,False,False,227,1.0,0.7946586039336259,,success
LiFePO4,False,False,62,1.0,1.2890627416992189,,success
LiPF6,False,False,148,221.0,0.0350226179809576,,success
MgB7,False,False,74,1.0,0.696423003845215,,success
Mn(FeO2)2,False,False,227,1.0,0.704129047241211,,success
Nd2Fe14B,False,False,136,1.0,0.2587354098820604,,success
Si3N4,False,False,176,6.0,0.6976459204101566,,success
SiO2,False,False,122,2.0,0.3412510414632166,,success
SrTiO3,False,False,140,221.0,0.0110811004882833,,success
V2O5,False,False,59,2.0,0.1942416088867187,,success
Y2Co17,False,False,166,1.0,0.0539776236049096,,success
Y3Al5O12,False,False,230,1.0,2.3713260778401715,,success
ZnO,False,False,186,38.0,0.7661886928405766,,success
ZnSb,False,False,61,1.0,0.0160270587158204,,success
ZrO2,False,False,14,1.0,0.4310615574951182,,success
ZrTe5,False,False,63,,,,error
