formula,struct_match,spg_match,gt_spg,pred_spg,relaxed_ehull,status
C,False,False,166,227.0,,success
Si,False,False,227,225.0,,success
GaAs,False,False,216,123.0,,success
ZnO,False,False,186,38.0,,success
BN,False,False,194,123.0,,success
LiCoO2,False,False,227,166.0,,success
Bi2Te3,False,False,166,191.0,,success
Ba(FeAs)2,True,True,139,139.0,,success
SiO2,False,False,122,171.0,,success
VO2,False,False,136,14.0,,success
La2CuO4,False,True,139,139.0,,success
LiPF6,False,False,148,14.0,,success
Al2O3,False,False,167,65.0,,success
SrTiO3,False,False,140,,,parse_error
CaCO3,False,False,167,193.0,,success
TiO2,False,False,12,136.0,,success
ZrO2,True,True,14,14.0,,success
ZrTe5,False,False,63,71.0,,success
V2O5,False,False,59,51.0,,success
Si3N4,False,False,176,65.0,,success
Fe3O4,False,False,227,25.0,,success
Mn(FeO2)2,False,False,227,,,parse_error
ZnSb,False,False,61,,,parse_error
CoSb3,False,False,204,,,parse_error
LiBF4,False,False,152,,,parse_error
Y2Co17,False,False,166,,,parse_error
GeH4,False,False,13,,,parse_error
CsPbI3,False,False,62,,,parse_error
NaCaAlPHO5F2,False,False,11,,,parse_error
LiFePO4,False,False,62,,,parse_error
Cu12Sb4S13,False,False,217,,,parse_error
MgB7,False,False,74,,,parse_error
Li3PS4,False,False,62,,,parse_error
Cd3As2,False,False,142,,,parse_error
Li4Ti5O12,False,False,15,,,parse_error
Ba2CaSi4(BO7)2,False,False,121,,,parse_error
Ag8GeS6,False,False,33,,,parse_error
Nd2Fe14B,False,False,136,,,parse_error
Y3Al5O12,False,False,230,,,parse_error
Ca14MnSb11,False,False,142,,,parse_error
