formula,struct_match,spg_match,gt_spg,pred_spg,relaxed_ehull,status
Ag8Ge,False,False,,1,0.3765150255669485,not_in_ds
Al2O3,True,True,167.0,167,0.0120544326171865,success
BN,True,True,194.0,194,-0.1750568780517589,success
Ba(FeAs)2,True,True,139.0,139,0.0015767904052674,success
BaCaSi2B2O7,False,False,,1,0.3000292126151826,not_in_ds
Bi2Te3,True,True,166.0,166,-0.2500938726399742,success
C,False,False,166.0,227,0.1367232968749991,success
CoSb3,True,True,204.0,204,-0.0028199584960937,success
CsPbI3,False,False,62.0,14,-0.1554040663818359,success
Cu10Sb4S13,False,False,,217,0.1302269816382129,not_in_ds
Fe3O4,True,False,227.0,1,0.2182440262276799,success
GaAs,True,True,216.0,216,0.0068163455200194,success
GeH4,False,False,13.0,217,0.0762728473632812,success
La2CuO4,False,True,139.0,139,0.082237511858259,success
Li3PS4,False,True,62.0,62,0.1265037869262695,success
LiBF4,False,False,152.0,1,-0.2987582318115231,success
LiCoO2,False,False,227.0,166,0.128113763997395,success
LiFePO4,True,True,62.0,62,0.077101812918527,success
LiPF6,True,True,148.0,148,-0.3396731599121096,success
MgB9,False,False,,2,0.3192496882324223,not_in_ds
Na2CaAlP2H2(O5F2)2,False,False,,1,0.3096000614790579,not_in_ds
Nd2Fe14B,True,False,136.0,58,0.0043685440602017,success
Si,False,False,227.0,1,0.3158435339965812,success
Si3N4,True,True,176.0,176,-0.2085735620117184,success
SiO,False,False,,1,0.8228440059814464,not_in_ds
SrTiO3,False,False,140.0,221,0.0109956512695337,success
TiO2,False,False,12.0,136,0.0478280244954341,success
V2O5,False,False,59.0,1,0.5263348345075336,success
VO2,True,True,136.0,136,0.01814712890625,success
Y2Co17,True,False,166.0,8,0.0008895293654047,success
ZnO,True,True,186.0,186,0.0081611392822269,success
ZnSb,False,False,61.0,1,-0.043267403488159,success
ZrO2,True,True,14.0,14,0.0102808251139343,success
ZrTe4,False,False,,1,0.1907322977539056,not_in_ds
