formula,gt_spg,struct_match,spg_match,pred_spg,relaxed_ehull,status
Al2CoO4,156,False,False,,,no_data
AlH12(ClO2)3,167,False,False,1.0,0.1353317625762171,success
Ba3Ta2NiO9,164,False,False,1.0,0.6161421453272382,success
BaCaGaF7,13,False,False,,,no_data
Be17Ru3,204,False,False,1.0,0.1971303512457769,success
Ca3Ni7B2,166,False,False,,,no_data
CeCu5Sn,62,False,False,1.0,0.202467674909319,success
Cs3InF6,225,False,False,,,no_data
CsCl,225,False,False,221.0,-0.26129523348999,success
Cu3P8(S2Cl)3,62,False,False,2.0,0.1416458945312539,success
DyPO4,141,True,True,141.0,0.0079050583902997,success
ErCdRh2,225,True,True,225.0,0.0296936473693847,success
Eu(Al2Cu)4,139,False,False,,,no_data
Eu(CuSb)2,129,False,True,129.0,0.461859949279785,success
Eu2MgTl,225,False,False,,,no_data
Gd(SiOs)2,139,False,False,123.0,0.3299122871093729,success
HoHSe,187,False,False,1.0,0.3781809394327795,success
K2Ni3S4,70,False,False,1.0,0.4042021562194851,success
K2ZrSi2O7,14,False,False,1.0,0.1009473728434251,success
K5Ag2(AsSe3)3,62,False,False,1.0,-0.0989913328721781,success
LaAl3Au,107,False,False,191.0,1.2787685918212897,success
LaSi2Ni9,141,False,False,,,no_data
LaSiIr,198,False,False,62.0,0.1144624831136074,success
Li6V3P8O29,1,False,False,,,no_data
LiP(HO2)2,33,False,False,1.0,0.5640458649321074,success
LiSm2IrO6,14,False,False,1.0,0.7171203190918094,success
LiZr2(PO4)3,14,False,False,,,no_data
Mg3Si2H4O9,185,False,False,1.0,0.9710338127170156,success
MnAl,123,True,False,221.0,0.0339380914916995,success
MnGa(CuSe2)2,82,False,False,,,no_data
Na(WO3)9,148,False,False,,,no_data
Na5FeP2(O4F)2,61,False,False,,,no_data
Pm2NiIr,225,False,False,,,no_data
Pr2ZnPtO6,14,False,True,14.0,0.7791891133025564,success
Rb2TlAgCl6,225,True,False,2.0,-0.3612667294433591,success
ReBi3O8,198,False,False,,,no_data
Sc2Mn12P7,174,False,False,1.0,0.4141357461402526,success
Sm6Ni20As13,174,False,False,1.0,0.3267730709255776,success
SmVO4,141,False,False,,,no_data
SmZnPd,189,False,False,187.0,0.0565340916341146,success
Sn(TePd3)2,107,False,False,221.0,0.6133445734130873,success
Sr(ClO3)2,43,False,False,147.0,0.3185547247408329,success
Tm11Sn10,139,False,False,1.0,0.1981894335026037,success
U2SbN2,139,False,False,123.0,0.4007655639648426,success
V5S4,87,False,False,,,no_data
VCl5,2,False,False,8.0,-0.4533125095912389,success
VPt3,139,False,False,,,no_data
Y4Si5Ir9,194,False,False,1.0,0.3559632072293954,success
YbP5,11,False,False,194.0,0.338530965488979,success
Zr4O,148,False,False,,,no_data
