formula,raw_match,relaxed_match
Al2CoO4,False,False
AlH12(ClO2)3,False,False
Ba3Ta2NiO9,False,False
BaCaGaF7,False,False
Be17Ru3,False,False
Ca3Ni7B2,False,False
CeCu5Sn,False,False
Cs3InF6,False,False
CsCl,False,False
Cu3P8(S2Cl)3,False,False
DyPO4,True,True
ErCdRh2,True,True
Eu(Al2Cu)4,False,False
Eu(CuSb)2,False,False
Eu2MgTl,True,True
Gd(SiOs)2,False,False
HoHSe,False,False
K2Ni3S4,False,False
K2ZrSi2O7,False,False
K5Ag2(AsSe3)3,False,False
LaAl3Au,False,False
LaSi2Ni9,False,False
LaSiIr,False,False
Li6V3P8O29,False,False
LiP(HO2)2,False,False
LiSm2IrO6,False,False
LiZr2(PO4)3,False,False
Mg3Si2H4O9,False,False
MnAl,True,True
MnGa(CuSe2)2,False,False
Na(WO3)9,False,False
Na5FeP2(O4F)2,False,False
Pm2NiIr,True,True
Pr2ZnPtO6,False,False
Rb2TlAgCl6,True,True
ReBi3O8,False,False
Sc2Mn12P7,False,False
Sm6Ni20As13,False,False
SmVO4,False,False
SmZnPd,False,False
Sn(TePd3)2,False,False
Sr(ClO3)2,False,False
Tm11Sn10,False,False
U2SbN2,False,False
V5S4,False,False
VCl5,False,False
VPt3,False,False
Y4Si5Ir9,False,False
YbP5,False,False
Zr4O,False,False
