formula,struct_match,spg_match,gt_spg,pred_spg,relaxed_ehull,gt_ehull,status
Ag16GeS6,False,False,,1,0.3012776531929346,,not_in_ds1
Al2O3,True,True,167.0,167,0.0120651137695304,0.0121216000000003,success
BN,False,False,194.0,216,-0.1019176873779308,-0.180033250000001,success
Ba(FeAs)2,True,True,139.0,139,0.0018327565917912,0.0181997999999943,success
Bi2Te3,True,True,166.0,166,-0.2508832606608075,-0.2523369999999993,success
C,False,False,166.0,227,0.1367404630126945,0.0069239999999997,success
CaCO3,True,True,167.0,167,0.0098913854166697,0.0099026000000028,success
CoSb3,True,True,204.0,204,-0.0026854904174804,-0.0029956249999996,success
CsPbI3,False,False,62.0,221,-0.1953077071289062,-0.2270364499999999,success
Cu10Sb4S13,False,False,,217,0.1301829006920325,,not_in_ds1
Fe3O4,False,False,227.0,1,36.90577656668527,0.2305717857142859,success
GaAs,True,True,216.0,216,0.0068182528686522,0.0066435,success
GeH4,False,False,13.0,215,0.062673451611328,0.0615225499999998,success
La2CuO4,False,True,139.0,139,0.0827312426757815,0.0092062857142858,success
Li3PS4,False,False,62.0,1,0.1178754185485839,0.0993240625,success
LiB2F8,False,False,,1,-0.300912573863636,,not_in_ds1
LiCoO2,False,False,227.0,166,0.1280698949788403,0.1507027499999997,success
LiFePO4,True,True,62.0,62,0.0766445942034046,0.0765907142857145,success
LiPF6,False,False,148.0,1,-0.278823970153808,-0.3449183749999998,success
Mn3Fe7O8,False,False,,1,0.5426854132758283,,not_in_ds1
NaCaAlPHO5F2,False,False,11.0,2,0.0476469449869796,-0.069585,success
Nd2Fe14B,True,False,136.0,10,0.0042123658662678,0.0037285294117639,success
Si,True,True,227.0,227,0.0081090445556641,0.0078230000000001,success
Si3N2,False,False,,1,0.3321691731445328,,not_in_ds1
SiO2,False,False,122.0,5,0.4268009258355043,0.0108350000000001,success
SrTiO3,False,False,140.0,221,0.0110536346679683,0.0104936000000019,success
TiO2,False,False,12.0,136,0.047766353556307,0.0103383333333244,success
VO2,False,False,136.0,1,0.1274483780924491,0.0176163333333327,success
VO2,True,True,136.0,136,0.0180612982177734,0.0176163333333327,success
Y2Co17,False,False,166.0,1,0.1425382067228611,0.0008315789473671,success
ZnO,True,True,186.0,186,0.0082026241149906,0.0079270000000004,success
ZnSb,False,False,61.0,1,-0.0432652577209475,-0.0946401875,success
ZrO2,True,True,14.0,14,0.0103177005208348,0.0100946666666672,success
ZrTe4,False,False,,1,0.1945710276123042,,not_in_ds1
