formula,cif
Ag8GeS6,"# generated using pymatgen
data_Ag8GeS6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   15.14900000
_cell_length_b   7.47600000
_cell_length_c   10.58900000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ag8GeS6
_chemical_formula_sum   'Ag32 Ge4 S24'
_cell_volume   1199.24580124
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag1  1  0.44900000  0.32700000  0.94600000  1.0
  Ag  Ag1  1  0.55100000  0.67300000  0.44600000  1.0
  Ag  Ag1  1  0.05100000  0.82700000  0.44600000  1.0
  Ag  Ag1  1  0.94900000  0.17300000  0.94600000  1.0
  Ag  Ag2  1  0.28500000  0.32000000  0.81600000  1.0
  Ag  Ag2  1  0.71500000  0.68000000  0.31600000  1.0
  Ag  Ag2  1  0.21500000  0.82000000  0.31600000  1.0
  Ag  Ag2  1  0.78500000  0.18000000  0.81600000  1.0
  Ag  Ag3  1  0.29700000  0.32300000  0.18700000  1.0
  Ag  Ag3  1  0.70300000  0.67700000  0.68700000  1.0
  Ag  Ag3  1  0.20300000  0.82300000  0.68700000  1.0
  Ag  Ag3  1  0.79700000  0.17700000  0.18700000  1.0
  Ag  Ag4  1  0.00500000  0.30000000  0.98000000  1.0
  Ag  Ag4  1  0.99500000  0.70000000  0.48000000  1.0
  Ag  Ag4  1  0.49500000  0.80000000  0.48000000  1.0
  Ag  Ag4  1  0.50500000  0.20000000  0.98000000  1.0
  Ag  Ag5  1  0.00300000  0.30600000  0.52600000  1.0
  Ag  Ag5  1  0.99700000  0.69400000  0.02600000  1.0
  Ag  Ag5  1  0.49700000  0.80600000  0.02600000  1.0
  Ag  Ag5  1  0.50300000  0.19400000  0.52600000  1.0
  Ag  Ag6  1  0.22000000  0.46000000  0.50000000  1.0
  Ag  Ag6  1  0.78000000  0.54000000  0.00000000  1.0
  Ag  Ag6  1  0.28000000  0.96000000  0.00000000  1.0
  Ag  Ag6  1  0.72000000  0.04000000  0.50000000  1.0
  Ag  Ag7  1  0.12600000  0.46000000  0.75000000  1.0
  Ag  Ag7  1  0.87400000  0.54000000  0.25000000  1.0
  Ag  Ag7  1  0.37400000  0.96000000  0.25000000  1.0
  Ag  Ag7  1  0.62600000  0.04000000  0.75000000  1.0
  Ag  Ag8  1  0.37500000  0.48000000  0.50000000  1.0
  Ag  Ag8  1  0.62500000  0.52000000  0.00000000  1.0
  Ag  Ag8  1  0.12500000  0.98000000  0.00000000  1.0
  Ag  Ag8  1  0.87500000  0.02000000  0.50000000  1.0
  Ge  Ge1  1  0.08160000  0.12840000  0.25000000  1.0
  Ge  Ge1  1  0.91840000  0.87160000  0.75000000  1.0
  Ge  Ge1  1  0.41840000  0.62840000  0.75000000  1.0
  Ge  Ge1  1  0.58160000  0.37160000  0.25000000  1.0
  S  S1  1  0.10140000  0.63800000  0.22200000  1.0
  S  S1  1  0.89860000  0.36200000  0.72200000  1.0
  S  S1  1  0.39860000  0.13800000  0.72200000  1.0
  S  S1  1  0.60140000  0.86200000  0.22200000  1.0
  S  S2  1  0.15930000  0.13700000  0.06000000  1.0
  S  S2  1  0.84070000  0.86300000  0.56000000  1.0
  S  S2  1  0.34070000  0.63700000  0.56000000  1.0
  S  S2  1  0.65930000  0.36300000  0.06000000  1.0
  S  S3  1  0.15600000  0.12900000  0.44400000  1.0
  S  S3  1  0.84400000  0.87100000  0.94400000  1.0
  S  S3  1  0.34400000  0.62900000  0.94400000  1.0
  S  S3  1  0.65600000  0.37100000  0.44400000  1.0
  S  S4  1  0.43500000  0.13400000  0.29700000  1.0
  S  S4  1  0.56500000  0.86600000  0.79700000  1.0
  S  S4  1  0.06500000  0.63400000  0.79700000  1.0
  S  S4  1  0.93500000  0.36600000  0.29700000  1.0
  S  S5  1  0.43200000  0.11900000  0.70800000  1.0
  S  S5  1  0.56800000  0.88100000  0.20800000  1.0
  S  S5  1  0.06800000  0.61900000  0.20800000  1.0
  S  S5  1  0.93200000  0.38100000  0.70800000  1.0
  S  S6  1  0.33200000  0.62000000  0.00300000  1.0
  S  S6  1  0.66800000  0.38000000  0.50300000  1.0
  S  S6  1  0.16800000  0.12000000  0.50300000  1.0
  S  S6  1  0.83200000  0.88000000  0.00300000  1.0
"
Al2O3,"# generated using pymatgen
data_Al4O15
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.75890000
_cell_length_b   4.75890000
_cell_length_c   12.99100000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al4O15
_chemical_formula_sum   'Al8 O30'
_cell_volume   254.79234294
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al1  1  0.00000000  0.00000000  0.35216000  1.0
  Al  Al1  1  0.00000000  0.00000000  0.64784000  1.0
  Al  Al1  1  0.00000000  0.00000000  0.85216000  1.0
  Al  Al1  1  0.00000000  0.00000000  0.14784000  1.0
  Al  Al1  1  0.66666667  0.33333333  0.68549333  1.0
  Al  Al1  1  0.66666667  0.33333333  0.98117333  1.0
  Al  Al1  1  0.33333333  0.66666667  0.01882667  1.0
  Al  Al1  1  0.33333333  0.66666667  0.31450667  1.0
  O  O1  1  0.30624000  0.00000000  0.25000000  1.0
  O  O1  1  0.00000000  0.30624000  0.25000000  1.0
  O  O1  1  0.69376000  0.69376000  0.25000000  1.0
  O  O1  1  0.69376000  0.00000000  0.75000000  1.0
  O  O1  1  0.00000000  0.69376000  0.75000000  1.0
  O  O1  1  0.30624000  0.30624000  0.75000000  1.0
  O  O1  1  0.97290667  0.33333333  0.58333333  1.0
  O  O1  1  0.66666667  0.63957333  0.58333333  1.0
  O  O1  1  0.36042667  0.02709333  0.58333333  1.0
  O  O1  1  0.36042667  0.33333333  0.08333333  1.0
  O  O1  1  0.66666667  0.02709333  0.08333333  1.0
  O  O1  1  0.97290667  0.63957333  0.08333333  1.0
  O  O1  1  0.66666667  0.02709333  0.58333333  1.0
  O  O1  1  0.36042667  0.33333333  0.58333333  1.0
  O  O1  1  0.97290667  0.63957333  0.58333333  1.0
  O  O1  1  0.66666667  0.63957333  0.08333333  1.0
  O  O1  1  0.97290667  0.33333333  0.08333333  1.0
  O  O1  1  0.36042667  0.02709333  0.08333333  1.0
  O  O1  1  0.63957333  0.66666667  0.91666667  1.0
  O  O1  1  0.33333333  0.97290667  0.91666667  1.0
  O  O1  1  0.02709333  0.36042667  0.91666667  1.0
  O  O1  1  0.02709333  0.66666667  0.41666667  1.0
  O  O1  1  0.33333333  0.36042667  0.41666667  1.0
  O  O1  1  0.63957333  0.97290667  0.41666667  1.0
  O  O1  1  0.33333333  0.36042667  0.91666667  1.0
  O  O1  1  0.02709333  0.66666667  0.91666667  1.0
  O  O1  1  0.63957333  0.97290667  0.91666667  1.0
  O  O1  1  0.33333333  0.97290667  0.41666667  1.0
  O  O1  1  0.63957333  0.66666667  0.41666667  1.0
  O  O1  1  0.02709333  0.36042667  0.41666667  1.0
"
Ba(FeAs)2,"# generated using pymatgen
data_Ba(FeAs)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.96250000
_cell_length_b   3.96250000
_cell_length_c   13.01680000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba(FeAs)2
_chemical_formula_sum   'Ba2 Fe4 As4'
_cell_volume   204.38206487
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba1  1  0.00000000  0.00000000  0.00000000  1.0
  Ba  Ba1  1  0.50000000  0.50000000  0.50000000  1.0
  Fe  Fe1  1  0.00000000  0.50000000  0.25000000  1.0
  Fe  Fe1  1  0.50000000  0.00000000  0.25000000  1.0
  Fe  Fe1  1  0.00000000  0.50000000  0.75000000  1.0
  Fe  Fe1  1  0.50000000  0.00000000  0.75000000  1.0
  As  As1  1  0.00000000  0.00000000  0.35450000  1.0
  As  As1  1  0.00000000  0.00000000  0.64550000  1.0
  As  As1  1  0.50000000  0.50000000  0.85450000  1.0
  As  As1  1  0.50000000  0.50000000  0.14550000  1.0
"
Bi2Te3,"# generated using pymatgen
data_Bi2Te3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.38350000
_cell_length_b   4.38350000
_cell_length_c   30.48700000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Bi2Te3
_chemical_formula_sum   'Bi6 Te9'
_cell_volume   507.32626184
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Bi  Bi1  1  0.00000000  0.00000000  0.39900000  1.0
  Bi  Bi1  1  0.00000000  0.00000000  0.60100000  1.0
  Bi  Bi1  1  0.66666667  0.33333333  0.73233333  1.0
  Bi  Bi1  1  0.66666667  0.33333333  0.93433333  1.0
  Bi  Bi1  1  0.33333333  0.66666667  0.06566667  1.0
  Bi  Bi1  1  0.33333333  0.66666667  0.26766667  1.0
  Te  Te1  1  0.00000000  0.00000000  0.00000000  1.0
  Te  Te1  1  0.66666667  0.33333333  0.33333333  1.0
  Te  Te1  1  0.33333333  0.66666667  0.66666667  1.0
  Te  Te2  1  0.00000000  0.00000000  0.79200000  1.0
  Te  Te2  1  0.00000000  0.00000000  0.20800000  1.0
  Te  Te2  1  0.66666667  0.33333333  0.12533333  1.0
  Te  Te2  1  0.66666667  0.33333333  0.54133333  1.0
  Te  Te2  1  0.33333333  0.66666667  0.45866667  1.0
  Te  Te2  1  0.33333333  0.66666667  0.87466667  1.0
"
C,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.56700000
_cell_length_b   3.56700000
_cell_length_c   3.56700000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C8
_cell_volume   45.38468526
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C1  1  0.50000000  0.00000000  0.50000000  1
  C  C1  1  0.25000000  0.25000000  0.25000000  1
  C  C1  1  0.00000000  0.00000000  0.00000000  1
  C  C1  1  0.25000000  0.75000000  0.75000000  1
  C  C1  1  0.75000000  0.25000000  0.75000000  1
  C  C1  1  0.00000000  0.50000000  0.50000000  1
  C  C1  1  0.50000000  0.50000000  0.00000000  1
  C  C1  1  0.75000000  0.75000000  0.25000000  1
"
CoSb3,"# generated using pymatgen
data_CoSb5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.03850000
_cell_length_b   9.03850000
_cell_length_c   9.03850000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CoSb5
_chemical_formula_sum   'Co8 Sb40'
_cell_volume   738.39557782
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Co  Co1  1  0.25000000  0.25000000  0.25000000  1.0
  Co  Co1  1  0.75000000  0.75000000  0.75000000  1.0
  Co  Co1  1  0.75000000  0.25000000  0.75000000  1.0
  Co  Co1  1  0.25000000  0.75000000  0.25000000  1.0
  Co  Co1  1  0.25000000  0.25000000  0.75000000  1.0
  Co  Co1  1  0.75000000  0.75000000  0.25000000  1.0
  Co  Co1  1  0.75000000  0.25000000  0.25000000  1.0
  Co  Co1  1  0.25000000  0.75000000  0.75000000  1.0
  Sb  Sb1  1  0.00000000  0.33510000  0.15760000  1.0
  Sb  Sb1  1  0.00000000  0.66490000  0.84240000  1.0
  Sb  Sb1  1  0.00000000  0.33510000  0.84240000  1.0
  Sb  Sb1  1  0.00000000  0.66490000  0.15760000  1.0
  Sb  Sb1  1  0.15760000  0.00000000  0.33510000  1.0
  Sb  Sb1  1  0.84240000  0.00000000  0.66490000  1.0
  Sb  Sb1  1  0.33510000  0.15760000  0.00000000  1.0
  Sb  Sb1  1  0.66490000  0.84240000  0.00000000  1.0
  Sb  Sb1  1  0.66490000  0.15760000  0.00000000  1.0
  Sb  Sb1  1  0.33510000  0.84240000  0.00000000  1.0
  Sb  Sb1  1  0.33510000  0.00000000  0.84240000  1.0
  Sb  Sb1  1  0.66490000  0.00000000  0.15760000  1.0
  Sb  Sb1  1  0.00000000  0.15760000  0.66490000  1.0
  Sb  Sb1  1  0.00000000  0.84240000  0.33510000  1.0
  Sb  Sb1  1  0.00000000  0.15760000  0.33510000  1.0
  Sb  Sb1  1  0.00000000  0.84240000  0.66490000  1.0
  Sb  Sb1  1  0.15760000  0.33510000  0.00000000  1.0
  Sb  Sb1  1  0.84240000  0.66490000  0.00000000  1.0
  Sb  Sb1  1  0.84240000  0.33510000  0.00000000  1.0
  Sb  Sb1  1  0.15760000  0.66490000  0.00000000  1.0
  Sb  Sb1  1  0.50000000  0.83510000  0.65760000  1.0
  Sb  Sb1  1  0.50000000  0.16490000  0.34240000  1.0
  Sb  Sb1  1  0.50000000  0.83510000  0.34240000  1.0
  Sb  Sb1  1  0.50000000  0.16490000  0.65760000  1.0
  Sb  Sb1  1  0.65760000  0.50000000  0.83510000  1.0
  Sb  Sb1  1  0.34240000  0.50000000  0.16490000  1.0
  Sb  Sb1  1  0.83510000  0.65760000  0.50000000  1.0
  Sb  Sb1  1  0.16490000  0.34240000  0.50000000  1.0
  Sb  Sb1  1  0.16490000  0.65760000  0.50000000  1.0
  Sb  Sb1  1  0.83510000  0.34240000  0.50000000  1.0
  Sb  Sb1  1  0.83510000  0.50000000  0.34240000  1.0
  Sb  Sb1  1  0.16490000  0.50000000  0.65760000  1.0
  Sb  Sb1  1  0.50000000  0.65760000  0.16490000  1.0
  Sb  Sb1  1  0.50000000  0.34240000  0.83510000  1.0
  Sb  Sb1  1  0.50000000  0.65760000  0.83510000  1.0
  Sb  Sb1  1  0.50000000  0.34240000  0.16490000  1.0
  Sb  Sb1  1  0.65760000  0.83510000  0.50000000  1.0
  Sb  Sb1  1  0.34240000  0.16490000  0.50000000  1.0
  Sb  Sb1  1  0.34240000  0.83510000  0.50000000  1.0
  Sb  Sb1  1  0.65760000  0.16490000  0.50000000  1.0
"
CsPbI3,"# generated using pymatgen
data_CsPbI3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.28940000
_cell_length_b   6.28940000
_cell_length_c   6.28940000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsPbI3
_chemical_formula_sum   'Cs1 Pb1 I3'
_cell_volume   248.78698041
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs1  1  0.50000000  0.50000000  0.50000000  1.0
  Pb  Pb1  1  0.00000000  0.00000000  0.00000000  1.0
  I  I1  1  0.50000000  0.00000000  0.00000000  1.0
  I  I1  1  0.00000000  0.50000000  0.00000000  1.0
  I  I1  1  0.00000000  0.00000000  0.50000000  1.0
"
Cu12Sb4S13,"# generated using pymatgen
data_Cu12Sb4S13
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.33000000
_cell_length_b   10.33000000
_cell_length_c   10.33000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu12Sb4S13
_chemical_formula_sum   'Cu24 Sb8 S26'
_cell_volume   1102.30293700
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu1  1  0.25000000  0.50000000  0.00000000  1.0
  Cu  Cu1  1  0.75000000  0.50000000  0.00000000  1.0
  Cu  Cu1  1  0.00000000  0.25000000  0.50000000  1.0
  Cu  Cu1  1  0.00000000  0.75000000  0.50000000  1.0
  Cu  Cu1  1  0.50000000  0.00000000  0.25000000  1.0
  Cu  Cu1  1  0.50000000  0.00000000  0.75000000  1.0
  Cu  Cu1  1  0.50000000  0.25000000  0.00000000  1.0
  Cu  Cu1  1  0.50000000  0.75000000  0.00000000  1.0
  Cu  Cu1  1  0.25000000  0.00000000  0.50000000  1.0
  Cu  Cu1  1  0.75000000  0.00000000  0.50000000  1.0
  Cu  Cu1  1  0.00000000  0.50000000  0.25000000  1.0
  Cu  Cu1  1  0.00000000  0.50000000  0.75000000  1.0
  Cu  Cu2  1  0.21130000  0.00000000  0.00000000  1.0
  Cu  Cu2  1  0.78870000  0.00000000  0.00000000  1.0
  Cu  Cu2  1  0.00000000  0.21130000  0.00000000  1.0
  Cu  Cu2  1  0.00000000  0.78870000  0.00000000  1.0
  Cu  Cu2  1  0.00000000  0.00000000  0.21130000  1.0
  Cu  Cu2  1  0.00000000  0.00000000  0.78870000  1.0
  Cu  Cu2  1  0.71130000  0.50000000  0.50000000  1.0
  Cu  Cu2  1  0.28870000  0.50000000  0.50000000  1.0
  Cu  Cu2  1  0.50000000  0.71130000  0.50000000  1.0
  Cu  Cu2  1  0.50000000  0.28870000  0.50000000  1.0
  Cu  Cu2  1  0.50000000  0.50000000  0.71130000  1.0
  Cu  Cu2  1  0.50000000  0.50000000  0.28870000  1.0
  Sb  Sb1  1  0.26980000  0.26980000  0.26980000  1.0
  Sb  Sb1  1  0.73020000  0.73020000  0.26980000  1.0
  Sb  Sb1  1  0.73020000  0.26980000  0.73020000  1.0
  Sb  Sb1  1  0.26980000  0.73020000  0.73020000  1.0
  Sb  Sb1  1  0.76980000  0.76980000  0.76980000  1.0
  Sb  Sb1  1  0.23020000  0.23020000  0.76980000  1.0
  Sb  Sb1  1  0.23020000  0.76980000  0.23020000  1.0
  Sb  Sb1  1  0.76980000  0.23020000  0.23020000  1.0
  S  S1  1  0.11380000  0.11380000  0.36030000  1.0
  S  S1  1  0.88620000  0.88620000  0.36030000  1.0
  S  S1  1  0.88620000  0.11380000  0.63970000  1.0
  S  S1  1  0.11380000  0.88620000  0.63970000  1.0
  S  S1  1  0.36030000  0.11380000  0.11380000  1.0
  S  S1  1  0.36030000  0.88620000  0.88620000  1.0
  S  S1  1  0.63970000  0.88620000  0.11380000  1.0
  S  S1  1  0.63970000  0.11380000  0.88620000  1.0
  S  S1  1  0.11380000  0.36030000  0.11380000  1.0
  S  S1  1  0.88620000  0.36030000  0.88620000  1.0
  S  S1  1  0.11380000  0.63970000  0.88620000  1.0
  S  S1  1  0.88620000  0.63970000  0.11380000  1.0
  S  S1  1  0.61380000  0.61380000  0.86030000  1.0
  S  S1  1  0.38620000  0.38620000  0.86030000  1.0
  S  S1  1  0.38620000  0.61380000  0.13970000  1.0
  S  S1  1  0.61380000  0.38620000  0.13970000  1.0
  S  S1  1  0.86030000  0.61380000  0.61380000  1.0
  S  S1  1  0.86030000  0.38620000  0.38620000  1.0
  S  S1  1  0.13970000  0.38620000  0.61380000  1.0
  S  S1  1  0.13970000  0.61380000  0.38620000  1.0
  S  S1  1  0.61380000  0.86030000  0.61380000  1.0
  S  S1  1  0.38620000  0.86030000  0.38620000  1.0
  S  S1  1  0.61380000  0.13970000  0.38620000  1.0
  S  S1  1  0.38620000  0.13970000  0.61380000  1.0
  S  S2  1  0.00000000  0.00000000  0.00000000  1.0
  S  S2  1  0.50000000  0.50000000  0.50000000  1.0
"
Fe3O4,"# generated using pymatgen
data_Fe3O4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.39410000
_cell_length_b   8.39410000
_cell_length_c   8.39410000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe3O4
_chemical_formula_sum   'Fe24 O32'
_cell_volume   591.45596501
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe1  1  0.37500000  0.12500000  0.37500000  1.0
  Fe  Fe1  1  0.12500000  0.37500000  0.37500000  1.0
  Fe  Fe1  1  0.87500000  0.87500000  0.12500000  1.0
  Fe  Fe1  1  0.37500000  0.62500000  0.87500000  1.0
  Fe  Fe1  1  0.62500000  0.12500000  0.62500000  1.0
  Fe  Fe1  1  0.12500000  0.12500000  0.12500000  1.0
  Fe  Fe1  1  0.62500000  0.37500000  0.87500000  1.0
  Fe  Fe1  1  0.87500000  0.37500000  0.62500000  1.0
  Fe  Fe1  1  0.87500000  0.12500000  0.87500000  1.0
  Fe  Fe1  1  0.12500000  0.87500000  0.87500000  1.0
  Fe  Fe1  1  0.37500000  0.37500000  0.12500000  1.0
  Fe  Fe1  1  0.87500000  0.62500000  0.37500000  1.0
  Fe  Fe1  1  0.62500000  0.62500000  0.12500000  1.0
  Fe  Fe1  1  0.37500000  0.87500000  0.62500000  1.0
  Fe  Fe1  1  0.62500000  0.87500000  0.37500000  1.0
  Fe  Fe1  1  0.12500000  0.62500000  0.62500000  1.0
  Fe  Fe2  1  0.00000000  0.50000000  0.00000000  1.0
  Fe  Fe2  1  0.75000000  0.75000000  0.75000000  1.0
  Fe  Fe2  1  0.50000000  0.50000000  0.50000000  1.0
  Fe  Fe2  1  0.75000000  0.25000000  0.25000000  1.0
  Fe  Fe2  1  0.25000000  0.75000000  0.25000000  1.0
  Fe  Fe2  1  0.50000000  0.00000000  0.00000000  1.0
  Fe  Fe2  1  0.00000000  0.00000000  0.50000000  1.0
  Fe  Fe2  1  0.25000000  0.25000000  0.75000000  1.0
  O  O1  1  0.24510000  0.25490000  0.24510000  1.0
  O  O1  1  0.99510000  0.50490000  0.50490000  1.0
  O  O1  1  0.74510000  0.74510000  0.25490000  1.0
  O  O1  1  0.50490000  0.49510000  0.00490000  1.0
  O  O1  1  0.75490000  0.25490000  0.75490000  1.0
  O  O1  1  0.99510000  0.99510000  0.99510000  1.0
  O  O1  1  0.49510000  0.50490000  0.00490000  1.0
  O  O1  1  0.74510000  0.24510000  0.75490000  1.0
  O  O1  1  0.00490000  0.99510000  0.00490000  1.0
  O  O1  1  0.25490000  0.74510000  0.74510000  1.0
  O  O1  1  0.25490000  0.25490000  0.25490000  1.0
  O  O1  1  0.50490000  0.50490000  0.99510000  1.0
  O  O1  1  0.74510000  0.75490000  0.24510000  1.0
  O  O1  1  0.75490000  0.75490000  0.25490000  1.0
  O  O1  1  0.00490000  0.00490000  0.99510000  1.0
  O  O1  1  0.74510000  0.25490000  0.74510000  1.0
  O  O1  1  0.24510000  0.74510000  0.75490000  1.0
  O  O1  1  0.00490000  0.49510000  0.50490000  1.0
  O  O1  1  0.49510000  0.99510000  0.49510000  1.0
  O  O1  1  0.24510000  0.24510000  0.25490000  1.0
  O  O1  1  0.00490000  0.50490000  0.49510000  1.0
  O  O1  1  0.49510000  0.00490000  0.50490000  1.0
  O  O1  1  0.25490000  0.75490000  0.75490000  1.0
  O  O1  1  0.49510000  0.49510000  0.99510000  1.0
  O  O1  1  0.99510000  0.00490000  0.00490000  1.0
  O  O1  1  0.50490000  0.99510000  0.50490000  1.0
  O  O1  1  0.50490000  0.00490000  0.49510000  1.0
  O  O1  1  0.25490000  0.24510000  0.24510000  1.0
  O  O1  1  0.75490000  0.24510000  0.74510000  1.0
  O  O1  1  0.99510000  0.49510000  0.49510000  1.0
  O  O1  1  0.24510000  0.75490000  0.74510000  1.0
  O  O1  1  0.75490000  0.74510000  0.24510000  1.0
"
GaAs,"# generated using pymatgen
data_GaAs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.65330000
_cell_length_b   5.65330000
_cell_length_c   5.65330000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GaAs
_chemical_formula_sum   'Ga4 As4'
_cell_volume   180.67834237
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ga  Ga1  1  0.00000000  0.50000000  0.50000000  1.0
  Ga  Ga1  1  0.00000000  0.00000000  0.00000000  1.0
  Ga  Ga1  1  0.50000000  0.00000000  0.50000000  1.0
  Ga  Ga1  1  0.50000000  0.50000000  0.00000000  1.0
  As  As1  1  0.75000000  0.75000000  0.25000000  1.0
  As  As1  1  0.25000000  0.25000000  0.25000000  1.0
  As  As1  1  0.75000000  0.25000000  0.75000000  1.0
  As  As1  1  0.25000000  0.75000000  0.75000000  1.0
"
