formula,n_atoms,status,final_energy,relaxed_spg,ehull
Ag8GeS6,60.0,success,-3.3875381469726564,1.0,
Al2O3,38.0,success,-5.18400734349301,1.0,
Ba(FeAs)2,10.0,success,-6.166849899291992,139.0,
Bi2Te3,15.0,success,-3.6642074584960938,166.0,
C,8.0,success,-9.087156295776367,227.0,
CoSb3,48.0,success,-2.973907152811686,1.0,
CsPbI3,5.0,success,-2.8361345291137696,221.0,
Cu12Sb4S13,58.0,success,-4.345630251128098,217.0,
Fe3O4,56.0,success,29.69834245954241,227.0,
GaAs,8.0,success,-4.173298358917236,216.0,
GeH4,20.0,success,-3.3169887542724608,1.0,
La2CuO4,14.0,success,-7.400040217808315,139.0,
Li3PS4,16.0,success,-4.389412879943848,31.0,
Li4Ti5O12,,error: ASE Atoms only supports ordered structures,,,
LiBF4,18.0,success,-5.5095774332682295,152.0,
LiCoO2,12.0,success,-5.620197296142578,166.0,
LiFePO4,28.0,success,-6.828102111816406,62.0,
LiPF6,24.0,success,-5.0347442626953125,148.0,
MgB7,32.0,success,-5.060610771179199,1.0,
Nd2Fe14B,68.0,success,-7.711545158835018,6.0,
Si3N4,14.0,success,-8.18132563999721,176.0,
SiO2,12.0,success,-6.147214253743489,5.0,
SrTiO3,7.0,success,-5.201087951660156,123.0,
TiO2,6.0,success,-8.929578145345053,136.0,
VO2,12.0,success,-7.732492446899414,14.0,
Y2Co17,57.0,success,-7.134179366262336,166.0,
Y3Al5O12,136.0,skipped_large,,,
ZnO,8.0,success,-0.7909626960754395,1.0,
ZnSb,16.0,success,-2.7186405658721924,61.0,
ZrO2,12.0,success,-9.489781061808268,14.0,
ZrTe5,24.0,success,-4.530499776204427,63.0,
