formula,spg,n_atoms,model,gpt_raw,cif_text,parse_ok,gpt_match_gt
C,166,4,gemini-3-pro-preview-thinking,"```cif
data_C_diamond
_chemical_name_common 'Diamond'
_chemical_formula_sum 'C'
_cell_length_a 3.56700
_cell_length_b 3.56700
_cell_length_c 3.56700
_cell_angle_alpha 90.00
_cell_angle_beta 90.00
_cell_angle_gamma 90.00
_symmetry_space_group_name_H-M 'F d -3 m'
_symmetry_Int_Tables_number 227
loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1 C 0.00000 0.00000 0.00000
```","data_C_diamond
_chemical_name_common 'Diamond'
_chemical_formula_sum 'C'
_cell_length_a 3.56700
_cell_length_b 3.56700
_cell_length_c 3.56700
_cell_angle_alpha 90.00
_cell_angle_beta 90.00
_cell_angle_gamma 90.00
_symmetry_space_group_name_H-M 'F d -3 m'
_symmetry_Int_Tables_number 227
loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1 C 0.00000 0.00000 0.00000",True,False
Si,227,2,gemini-3-pro-preview-thinking,"```cif
data_Si
_chemical_name_common 'Silicon'
_cell_length_a 5.4309
_cell_length_b 5.4309
_cell_length_c 5.4309
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_cell_volume 160.18
_symmetry_space_group_name_H-M 'F d -3 m'
_symmetry_Int_Tables_number 227

loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-x, -y+","```cif
data_Si
_chemical_name_common 'Silicon'
_cell_length_a 5.4309
_cell_length_b 5.4309
_cell_length_c 5.4309
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_cell_volume 160.18
_symmetry_space_group_name_H-M 'F d -3 m'
_symmetry_Int_Tables_number 227

loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-x, -y+",False,False
GaAs,216,2,gemini-3-pro-preview-thinking,"```cif
data_GaAs
_chemical_name_common 'Gallium Arsenide'
_cell_length_a 5.6533
_cell_length_b 5.6533
_cell_length_c 5.6533
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_symmetry_space_group_name_H-M 'F -4 3 m'
_symmetry_Int_Tables_number 216

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Ga1 Ga 0.00000 0.00000 0.00000 1.0
As1 As 0.25000 0.25000 0.25000 1.0
```","data_GaAs
_chemical_name_common 'Gallium Arsenide'
_cell_length_a 5.6533
_cell_length_b 5.6533
_cell_length_c 5.6533
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 90
_symmetry_space_group_name_H-M 'F -4 3 m'
_symmetry_Int_Tables_number 216

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Ga1 Ga 0.00000 0.00000 0.00000 1.0
As1 As 0.25000 0.25000 0.25000 1.0",True,True
ZnO,186,4,gemini-3-pro-preview-thinking,"```cif
data_ZnO_wurtzite
_chemical_name_common                  'Zinc Oxide'
_chemical_formula_sum                  'O Zn'
_chemical_formula_weight               81.38

_cell_length_a                         3.2495
_cell_length_b                         3.2495
_cell_length_c                         5.2069
_cell_angle_alpha                      90
_cell_angle_beta                       90
_cell_angle_gamma                      120
_cell_volume                           47.62

_symmetry_space_group_name_H-M         'P 63 m c'
_symmetry_Int_Tables_number            186

loop_
_symmetry_equiv_pos_as_xyz
   'x, y, z'
   '-x, -x+y, z+1/2'
   'x-y, x, z+1/2'
   '-y, -x, z+1/2'
   '-y, x-y, z'
   'x-y, -y, z'
   '-x, -y, z+1/2'
   'x, x-y, z+1/2'
   '-x+y, -x, z+1/2'
   'y, x, z+1/2'
   'y, -x+y, z'
   '-x+y, y, z'

loop_
   _atom_site_label
   _atom_site_type_symbol
   _atom_site_fract_x
   _atom_site_fract_y
   _atom_site_fract_z
   _atom_site_occupancy
   _atom_site_B_iso_or_equiv
   Zn1 Zn 0.33333 0.66667 0.00000 1.0000 0.005
   O1  O  0.33333 0.66667 0.38250 1.0000 0.006
```","data_ZnO_wurtzite
_chemical_name_common                  'Zinc Oxide'
_chemical_formula_sum                  'O Zn'
_chemical_formula_weight               81.38

_cell_length_a                         3.2495
_cell_length_b                         3.2495
_cell_length_c                         5.2069
_cell_angle_alpha                      90
_cell_angle_beta                       90
_cell_angle_gamma                      120
_cell_volume                           47.62

_symmetry_space_group_name_H-M         'P 63 m c'
_symmetry_Int_Tables_number            186

loop_
_symmetry_equiv_pos_as_xyz
   'x, y, z'
   '-x, -x+y, z+1/2'
   'x-y, x, z+1/2'
   '-y, -x, z+1/2'
   '-y, x-y, z'
   'x-y, -y, z'
   '-x, -y, z+1/2'
   'x, x-y, z+1/2'
   '-x+y, -x, z+1/2'
   'y, x, z+1/2'
   'y, -x+y, z'
   '-x+y, y, z'

loop_
   _atom_site_label
   _atom_site_type_symbol
   _atom_site_fract_x
   _atom_site_fract_y
   _atom_site_fract_z
   _atom_site_occupancy
   _atom_site_B_iso_or_equiv
   Zn1 Zn 0.33333 0.66667 0.00000 1.0000 0.005
   O1  O  0.33333 0.66667 0.38250 1.0000 0.006",True,False
BN,194,4,gemini-3-pro-preview-thinking,"```cif
data_BN_hexagonal
_chemical_name_systematic 'Boron Nitride'
_chemical_formula_sum 'B N'
_cell_length_a 2.5040
_cell_length_b 2.5040
_cell_length_c 6.6612
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120
_cell_volume 36.17
_symmetry_space_group_name_H-M 'P 63/m m c'
_symmetry_Int_Tables_number 194
loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-x, -x+y, z+1/2'
'-x+y, -x, z+1/2'
'-y, x-y, z'
'-y, -x, z+1/2'
'x-y, -y, z+1/2'
'x, x-y, z'
'x-y, x, z+1/2'
'y, -x+y, z+1/2'
'-x+y, y, z'
'y, x, z'
'-x, -y, -z'
'x, x-y, -z+1/2'
'x-y, x, -z+1/2'
'y, -x+y, -z'
'y, x, -z+1/2'
'-x+y, y, -z+1/2'
'-x, -x+y, -z'
'-x+y, -x, -z'
'-y, x-y, -z+1/2'
'x-y, -y, -z'
'-y, -x, -z'
'x, y, -z+1/2'
loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_U_iso_or_equiv
B1 B 0.333333 0.666667 0.250000 1.0000 0.00500
N1 N 0.333333 0.666667 0.750000 1.0000 0.00500
```","data_BN_hexagonal
_chemical_name_systematic 'Boron Nitride'
_chemical_formula_sum 'B N'
_cell_length_a 2.5040
_cell_length_b 2.5040
_cell_length_c 6.6612
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120
_cell_volume 36.17
_symmetry_space_group_name_H-M 'P 63/m m c'
_symmetry_Int_Tables_number 194
loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-x, -x+y, z+1/2'
'-x+y, -x, z+1/2'
'-y, x-y, z'
'-y, -x, z+1/2'
'x-y, -y, z+1/2'
'x, x-y, z'
'x-y, x, z+1/2'
'y, -x+y, z+1/2'
'-x+y, y, z'
'y, x, z'
'-x, -y, -z'
'x, x-y, -z+1/2'
'x-y, x, -z+1/2'
'y, -x+y, -z'
'y, x, -z+1/2'
'-x+y, y, -z+1/2'
'-x, -x+y, -z'
'-x+y, -x, -z'
'-y, x-y, -z+1/2'
'x-y, -y, -z'
'-y, -x, -z'
'x, y, -z+1/2'
loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_U_iso_or_equiv
B1 B 0.333333 0.666667 0.250000 1.0000 0.00500
N1 N 0.333333 0.666667 0.750000 1.0000 0.00500",False,False
LiCoO2,227,16,gemini-3-pro-preview-thinking,"```cif
data_LiCoO2
_chemical_name_common                  'Lithium Cobalt Oxide'
_chemical_formula_sum                  'Co Li O2'
_cell_length_a                         2.8150
_cell_length_b                         2.8150
_cell_length_c                         14.0500
_cell_angle_alpha                      90.0
_cell_angle_beta                       90.0
_cell_angle_gamma                      120.0
_cell_volume                           96.42
_symmetry_space_group_name_H-M         'R -3 m'
_symmetry_Int_Tables_number            166

loop_
_symmetry_equiv_pos_as_xyz
   'x, y, z'
   '-x+y, -x, z'
   '-y, x-y, z'
   '-y, -x, z'
   '-x+y, y, z'
   'x, x-y, z'
   '-x, -y, -z'
   'x-y, x, -z'
   'y, -x+y, -z'
   'y, x, -z'
   'x-y, -y, -z'
   '-x, -x+y, -z'
   'x+2/3, y+1/3, z+1/3'
   '-x+y+2/3, -x+1/3, z+1/3'
   '-y+2/3, x-y+1/3, z+1/3'
   '-y+2/3, -x+1/3, z+1/3'
   '-x+y+2/3, y+1/3, z+1/3'
   'x+2/3, x-y+1/3, z+1/3'
   '-x+2/3, -y+1/3, -z+1/3'
   'x-y+2/3, x+1/3, -z+1/3'
   'y+2/3, -x+y+1/3, -z+1/3'
   'y+2/3, x+1/3, -z+1/3'
   'x-y+2/3, -y+1/3, -z+1/3'
   '-x+2/3, -x+y+1/3, -z+1/3'
   'x+1/3, y+2/3, z+2/3'
   '-x+y+1/3, -x+2/3, z+2/3'
   '-y+1/3, x-y+2/3, z+2/3'
   '-y+1/3, -x+2/3, z+2/3'
   '-x+y+1/3, y+2/3, z+2/3'
   'x+1/3, x-y+2/3, z+2/3'
   '-x+1/3, -y+2/3, -z+2/3'
   'x-y+1/3, x+2/3, -z+2/3'
   'y+1/3, -x+y+2/3, -z+2/3'
   'y+1/3, x+2/3, -z+2/3'
   'x-y+1/3, -y+2/3, -z+2/3'
   '-x+1/3, -x+y+2/3, -z+2/3'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_B_iso_or_equiv
Li1 Li 0.00000 0.00000 0.00000 1.0000 0.500
Co1 Co 0.00000 0.00000 0.50000 1.0000 0.300
O1  O  0.00000 0.00000 0.24000 1.0000 0.600
```","data_LiCoO2
_chemical_name_common                  'Lithium Cobalt Oxide'
_chemical_formula_sum                  'Co Li O2'
_cell_length_a                         2.8150
_cell_length_b                         2.8150
_cell_length_c                         14.0500
_cell_angle_alpha                      90.0
_cell_angle_beta                       90.0
_cell_angle_gamma                      120.0
_cell_volume                           96.42
_symmetry_space_group_name_H-M         'R -3 m'
_symmetry_Int_Tables_number            166

loop_
_symmetry_equiv_pos_as_xyz
   'x, y, z'
   '-x+y, -x, z'
   '-y, x-y, z'
   '-y, -x, z'
   '-x+y, y, z'
   'x, x-y, z'
   '-x, -y, -z'
   'x-y, x, -z'
   'y, -x+y, -z'
   'y, x, -z'
   'x-y, -y, -z'
   '-x, -x+y, -z'
   'x+2/3, y+1/3, z+1/3'
   '-x+y+2/3, -x+1/3, z+1/3'
   '-y+2/3, x-y+1/3, z+1/3'
   '-y+2/3, -x+1/3, z+1/3'
   '-x+y+2/3, y+1/3, z+1/3'
   'x+2/3, x-y+1/3, z+1/3'
   '-x+2/3, -y+1/3, -z+1/3'
   'x-y+2/3, x+1/3, -z+1/3'
   'y+2/3, -x+y+1/3, -z+1/3'
   'y+2/3, x+1/3, -z+1/3'
   'x-y+2/3, -y+1/3, -z+1/3'
   '-x+2/3, -x+y+1/3, -z+1/3'
   'x+1/3, y+2/3, z+2/3'
   '-x+y+1/3, -x+2/3, z+2/3'
   '-y+1/3, x-y+2/3, z+2/3'
   '-y+1/3, -x+2/3, z+2/3'
   '-x+y+1/3, y+2/3, z+2/3'
   'x+1/3, x-y+2/3, z+2/3'
   '-x+1/3, -y+2/3, -z+2/3'
   'x-y+1/3, x+2/3, -z+2/3'
   'y+1/3, -x+y+2/3, -z+2/3'
   'y+1/3, x+2/3, -z+2/3'
   'x-y+1/3, -y+2/3, -z+2/3'
   '-x+1/3, -x+y+2/3, -z+2/3'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_B_iso_or_equiv
Li1 Li 0.00000 0.00000 0.00000 1.0000 0.500
Co1 Co 0.00000 0.00000 0.50000 1.0000 0.300
O1  O  0.00000 0.00000 0.24000 1.0000 0.600",True,False
Bi2Te3,166,5,gemini-3-pro-preview-thinking,"```cif
data_Bi2Te3
_chemical_name_common                  'Bismuth Telluride'
_chemical_formula_sum                  'Bi2 Te3'
_cell_length_a                         4.3835
_cell_length_b                         4.3835
_cell_length_c                         30.4870
_cell_angle_alpha                      90
_cell_angle_beta                       90
_cell_angle_gamma                      120
_cell_volume                           507.26
_symmetry_space_group_name_H-M         'R -3 m'
_symmetry_Int_Tables_number            166

loop_
_symmetry_equiv_pos_as_xyz
   'x, y, z'
   '-y, x-y, z'
   '-x+y, -x, z'
   '-x, -y, -z'
   'y, -x+y, -z'
   'x-y, x, -z'
   '-y, -x, z'
   '-x+y, y, z'
   'x, x-y, z'
   'y, x, -z'
   'x-y, -y, -z'
   '-x, -x+y, -z'
   'x+2/3, y+1/3, z+1/3'
   '-y+2/3, x-y+1/3, z+1/3'
   '-x+y+2/3, -x+1/3, z+1/3'
   '-x+2/3, -y+1/3, -z+1/3'
   'y+2/3, -x+y+1/3, -z+1/3'
   'x-y+2/3, x+1/3, -z+1/3'
   '-y+2/3, -x+1/3, z+1/3'
   '-x+y+2/3, y+1/3, z+1/3'
   'x+2/3, x-y+1/3, z+1/3'
   'y+2/3, x+1/3, -z+1/3'
   'x-y+2/3, -y+1/3, -z+1/3'
   '-x+2/3, -x+y+1/3, -z+1/3'
   'x+1/3, y+2/3, z+2/3'
   '-y+1/3, x-y+2/3, z+2/3'
   '-x+y+1/3, -x+2/3, z+2/3'
   '-x+1/3, -y+2/3, -z+2/3'
   'y+1/3, -x+y+2/3, -z+2/3'
   'x-y+1/3, x+2/3, -z+2/3'
   '-y+1/3, -x+2/3, z+2/3'
   '-x+y+1/3, y+2/3, z+2/3'
   'x+1/3, x-y+2/3, z+2/3'
   'y+1/3, x+2/3, -z+2/3'
   'x-y+1/3, -y+2/3, -z+2/3'
   '-x+1/3, -x+y+2/3, -z+2/3'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Te1 Te 0.00000 0.00000 0.00000 1.000
Bi1 Bi 0.00000 0.00000 0.39900 1.000
Te2 Te 0.00000 0.00000 0.79200 1.000
```","data_Bi2Te3
_chemical_name_common                  'Bismuth Telluride'
_chemical_formula_sum                  'Bi2 Te3'
_cell_length_a                         4.3835
_cell_length_b                         4.3835
_cell_length_c                         30.4870
_cell_angle_alpha                      90
_cell_angle_beta                       90
_cell_angle_gamma                      120
_cell_volume                           507.26
_symmetry_space_group_name_H-M         'R -3 m'
_symmetry_Int_Tables_number            166

loop_
_symmetry_equiv_pos_as_xyz
   'x, y, z'
   '-y, x-y, z'
   '-x+y, -x, z'
   '-x, -y, -z'
   'y, -x+y, -z'
   'x-y, x, -z'
   '-y, -x, z'
   '-x+y, y, z'
   'x, x-y, z'
   'y, x, -z'
   'x-y, -y, -z'
   '-x, -x+y, -z'
   'x+2/3, y+1/3, z+1/3'
   '-y+2/3, x-y+1/3, z+1/3'
   '-x+y+2/3, -x+1/3, z+1/3'
   '-x+2/3, -y+1/3, -z+1/3'
   'y+2/3, -x+y+1/3, -z+1/3'
   'x-y+2/3, x+1/3, -z+1/3'
   '-y+2/3, -x+1/3, z+1/3'
   '-x+y+2/3, y+1/3, z+1/3'
   'x+2/3, x-y+1/3, z+1/3'
   'y+2/3, x+1/3, -z+1/3'
   'x-y+2/3, -y+1/3, -z+1/3'
   '-x+2/3, -x+y+1/3, -z+1/3'
   'x+1/3, y+2/3, z+2/3'
   '-y+1/3, x-y+2/3, z+2/3'
   '-x+y+1/3, -x+2/3, z+2/3'
   '-x+1/3, -y+2/3, -z+2/3'
   'y+1/3, -x+y+2/3, -z+2/3'
   'x-y+1/3, x+2/3, -z+2/3'
   '-y+1/3, -x+2/3, z+2/3'
   '-x+y+1/3, y+2/3, z+2/3'
   'x+1/3, x-y+2/3, z+2/3'
   'y+1/3, x+2/3, -z+2/3'
   'x-y+1/3, -y+2/3, -z+2/3'
   '-x+1/3, -x+y+2/3, -z+2/3'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Te1 Te 0.00000 0.00000 0.00000 1.000
Bi1 Bi 0.00000 0.00000 0.39900 1.000
Te2 Te 0.00000 0.00000 0.79200 1.000",True,True
Ba(FeAs)2,139,5,gemini-3-pro-preview-thinking,"```cif
data_BaFe2As2
_chemical_name_common                  'Barium iron arsenide'
_chemical_formula_sum                  'As2 Ba1 Fe2'
_chemical_formula_weight               339.06

_symmetry_space_group_name_H-M         'I 4/m m m'
_symmetry_Int_Tables_number            139

_cell_length_a                         3.9625
_cell_length_b                         3.9625
_cell_length_c                         13.0168
_cell_angle_alpha                      90
_cell_angle_beta                       90
_cell_angle_gamma                      90
_cell_volume                           204.38

loop_
_symmetry_equiv_pos_site_id
_symmetry_equiv_pos_as_xyz
1 'x, y, z'
2 '-x, -y, z'
3 '-x, y, z'
4 'x, -y, z'
5 '-y, x, z'
6 'y, -x, z'
7 'y, x, z'
8 '-y, -x, z'
9 '-x, -y, -z'
10 'x, y, -z'
11 'x, -y, -z'
12 '-x, y, -z'
13 'y, -x, -z'
14 '-y, x, -z'
15 '-y, -x, -z'
16 'y, x, -z'
17 'x+1/2, y+1/2, z+1/2'
18 '-x+1/2, -y+1/2, z+1/2'
19 '-x+1/2, y+1/2, z+1/2'
20 'x+1/2, -y+1/2, z+1/2'
21 '-y+1/2, x+1/2, z+1/2'
22 'y+1/2, -x+1/2, z+1/2'
23 'y+1/2, x+1/2, z+1/2'
24 '-y+1/2, -x+1/2, z+1/2'
25 '-x+1/2, -y+1/2, -z+1/2'
26 'x+1/2, y+1/2, -z+1/2'
27 'x+1/2, -y+1/2, -z+1/2'
28 '-x+1/2, y+1/2, -z+1/2'
29 'y+1/2, -x+1/2, -z+1/2'
30 '-y+1/2, x+1/2, -z+1/2'
31 '-y+1/2, -x+1/2, -z+1/2'
32 'y+1/2, x+1/2, -z+1/2'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_symmetry_multiplicity
_atom_site_Wyckoff_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Ba1 Ba 2 a 0.00000 0.00000 0.00000 1.000
Fe1 Fe 4 d 0.00000 0.50000 0.25000 1.000
As1 As 4 e 0.00000 0.00000 0.35450 1.000
```","data_BaFe2As2
_chemical_name_common                  'Barium iron arsenide'
_chemical_formula_sum                  'As2 Ba1 Fe2'
_chemical_formula_weight               339.06

_symmetry_space_group_name_H-M         'I 4/m m m'
_symmetry_Int_Tables_number            139

_cell_length_a                         3.9625
_cell_length_b                         3.9625
_cell_length_c                         13.0168
_cell_angle_alpha                      90
_cell_angle_beta                       90
_cell_angle_gamma                      90
_cell_volume                           204.38

loop_
_symmetry_equiv_pos_site_id
_symmetry_equiv_pos_as_xyz
1 'x, y, z'
2 '-x, -y, z'
3 '-x, y, z'
4 'x, -y, z'
5 '-y, x, z'
6 'y, -x, z'
7 'y, x, z'
8 '-y, -x, z'
9 '-x, -y, -z'
10 'x, y, -z'
11 'x, -y, -z'
12 '-x, y, -z'
13 'y, -x, -z'
14 '-y, x, -z'
15 '-y, -x, -z'
16 'y, x, -z'
17 'x+1/2, y+1/2, z+1/2'
18 '-x+1/2, -y+1/2, z+1/2'
19 '-x+1/2, y+1/2, z+1/2'
20 'x+1/2, -y+1/2, z+1/2'
21 '-y+1/2, x+1/2, z+1/2'
22 'y+1/2, -x+1/2, z+1/2'
23 'y+1/2, x+1/2, z+1/2'
24 '-y+1/2, -x+1/2, z+1/2'
25 '-x+1/2, -y+1/2, -z+1/2'
26 'x+1/2, y+1/2, -z+1/2'
27 'x+1/2, -y+1/2, -z+1/2'
28 '-x+1/2, y+1/2, -z+1/2'
29 'y+1/2, -x+1/2, -z+1/2'
30 '-y+1/2, x+1/2, -z+1/2'
31 '-y+1/2, -x+1/2, -z+1/2'
32 'y+1/2, x+1/2, -z+1/2'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_symmetry_multiplicity
_atom_site_Wyckoff_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Ba1 Ba 2 a 0.00000 0.00000 0.00000 1.000
Fe1 Fe 4 d 0.00000 0.50000 0.25000 1.000
As1 As 4 e 0.00000 0.00000 0.35450 1.000",True,True
SiO2,122,6,gemini-3-pro-preview-thinking,"```cif
data_SiO2_alpha_quartz
_chemical_name_mineral 'Quartz low'
_chemical_formula_sum 'O2 Si'
_chemical_formula_weight 60.08

_symmetry_space_group_name_H-M 'P 31 2 1'
_symmetry_Int_Tables_number 152
_symmetry_cell_setting trigonal

_cell_length_a 4.9134
_cell_length_b 4.9134
_cell_length_c 5.4052
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120
_cell_volume 113.01

loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-y, x-y, z+1/3'
'-x+y, -x, z+2/3'
'y, x, -z'
'-x, -x+y, -z+1/3'
'x-y, -y, -z+2/3'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_B_iso_or_equiv
Si Si 0.46970 0.00000 0.00000 1.0000 0.0064
O  O  0.41350 0.26690 0.11910 1.0000 0.0109
```","data_SiO2_alpha_quartz
_chemical_name_mineral 'Quartz low'
_chemical_formula_sum 'O2 Si'
_chemical_formula_weight 60.08

_symmetry_space_group_name_H-M 'P 31 2 1'
_symmetry_Int_Tables_number 152
_symmetry_cell_setting trigonal

_cell_length_a 4.9134
_cell_length_b 4.9134
_cell_length_c 5.4052
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120
_cell_volume 113.01

loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-y, x-y, z+1/3'
'-x+y, -x, z+2/3'
'y, x, -z'
'-x, -x+y, -z+1/3'
'x-y, -y, -z+2/3'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_B_iso_or_equiv
Si Si 0.46970 0.00000 0.00000 1.0000 0.0064
O  O  0.41350 0.26690 0.11910 1.0000 0.0109",True,False
VO2,136,6,gemini-3-pro-preview-thinking,"```cif
data_VO2_M1_Monoclinic
_audit_creation_date             2023-10-27
_audit_creation_method           'Generated by AI based on McWhan et al. (1974)'

_chemical_name_systematic        'Vanadium(IV) oxide - M1 phase'
_chemical_formula_sum            'O2 V1'
_chemical_formula_weight         82.94

_symmetry_cell_setting           monoclinic
_symmetry_space_group_name_H-M   'P 21/c'
_symmetry_Int_Tables_number      14

loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-x, y+1/2, -z+1/2'
'-x, -y, -z'
'x, -y-1/2, z-1/2'

_cell_length_a                   5.7517
_cell_length_b                   4.5378
_cell_length_c                   5.3825
_cell_angle_alpha                90.0
_cell_angle_beta                 122.646
_cell_angle_gamma                90.0
_cell_volume                     118.26

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_B_iso_or_equiv
V1 V  0.23950 0.97890 0.02590 1.000 0.40
O1 O  0.10620 0.21180 0.20800 1.000 0.50
O2 O  0.39850 0.69710 0.29180 1.000 0.50

_publ_section_title
;
 Metal-insulator transitions in pure and doped V O2
;
_publ_author_name
;
 McWhan, D. B.
 Marezio, M.
 Remeika, J. P.
 Dernier, P. D.
;
_journal_name_full               'Physical Review B'
_journal_page_first              490
_journal_page_last               495
_journal_volume                  10
_journal_year                    1974
```","data_VO2_M1_Monoclinic
_audit_creation_date             2023-10-27
_audit_creation_method           'Generated by AI based on McWhan et al. (1974)'

_chemical_name_systematic        'Vanadium(IV) oxide - M1 phase'
_chemical_formula_sum            'O2 V1'
_chemical_formula_weight         82.94

_symmetry_cell_setting           monoclinic
_symmetry_space_group_name_H-M   'P 21/c'
_symmetry_Int_Tables_number      14

loop_
_symmetry_equiv_pos_as_xyz
'x, y, z'
'-x, y+1/2, -z+1/2'
'-x, -y, -z'
'x, -y-1/2, z-1/2'

_cell_length_a                   5.7517
_cell_length_b                   4.5378
_cell_length_c                   5.3825
_cell_angle_alpha                90.0
_cell_angle_beta                 122.646
_cell_angle_gamma                90.0
_cell_volume                     118.26

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
_atom_site_B_iso_or_equiv
V1 V  0.23950 0.97890 0.02590 1.000 0.40
O1 O  0.10620 0.21180 0.20800 1.000 0.50
O2 O  0.39850 0.69710 0.29180 1.000 0.50

_publ_section_title
;
 Metal-insulator transitions in pure and doped V O2
;
_publ_author_name
;
 McWhan, D. B.
 Marezio, M.
 Remeika, J. P.
 Dernier, P. D.
;
_journal_name_full               'Physical Review B'
_journal_page_first              490
_journal_page_last               495
_journal_volume                  10
_journal_year                    1974",True,False
