formula,spg,n_atoms,model,gpt_raw,cif_text,parse_ok,gpt_match_gt
C,166,4,gemini-3-pro-preview-thinking,"```cif
data_graphite_P1
_cell_length_a 2.46100
_cell_length_b 2.46100
_cell_length_c 6.70800
_cell_angle_alpha 90.00000
_cell_angle_beta 90.00000
_cell_angle_gamma 120.00000
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1 C 0.00000 0.00000 0.25000
C2 C 0.33333 0.66667 0.25000
C3 C 0.00000 0.00000 0.75000
C4 C 0.66667 0.33333 0.75000
```","data_graphite_P1
_cell_length_a 2.46100
_cell_length_b 2.46100
_cell_length_c 6.70800
_cell_angle_alpha 90.00000
_cell_angle_beta 90.00000
_cell_angle_gamma 120.00000
_symmetry_space_group_name_H-M 'P 1'
_symmetry_Int_Tables_number 1

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1 C 0.00000 0.00000 0.25000
C2 C 0.33333 0.66667 0.25000
C3 C 0.00000 0.00000 0.75000
C4 C 0.66667 0.33333 0.75000",True,False
Si,227,2,gemini-3-pro-preview-thinking,"```cif
data_Si_diamond_P1

_cell_length_a 5.4310
_cell_length_b 5.4310
_cell_length_c 5.4310
_cell_angle_alpha 90.0
_cell_angle_beta 90.0
_cell_angle_gamma 90.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1 Si 0.0000 0.0000 0.0000
Si2 Si 0.0000 0.5000 0.5000
Si3 Si 0.5000 0.0000 0.5000
Si4 Si 0.5000 0.5000 0.0000
Si5 Si 0.2500 0.2500 0.2500
Si6 Si 0.2500 0.7500 0.7500
Si7 Si 0.7500 0.2500 0.7500
Si8 Si 0.7500 0.7500 0.2500
```","data_Si_diamond_P1

_cell_length_a 5.4310
_cell_length_b 5.4310
_cell_length_c 5.4310
_cell_angle_alpha 90.0
_cell_angle_beta 90.0
_cell_angle_gamma 90.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1 Si 0.0000 0.0000 0.0000
Si2 Si 0.0000 0.5000 0.5000
Si3 Si 0.5000 0.0000 0.5000
Si4 Si 0.5000 0.5000 0.0000
Si5 Si 0.2500 0.2500 0.2500
Si6 Si 0.2500 0.7500 0.7500
Si7 Si 0.7500 0.2500 0.7500
Si8 Si 0.7500 0.7500 0.2500",True,True
GaAs,216,2,gemini-3-pro-preview-thinking,"```cif
data_GaAs_ZincBlende

_cell_length_a    5.65300
_cell_length_b    5.65300
_cell_length_c    5.65300
_cell_angle_alpha 90.00000
_cell_angle_beta  90.00000
_cell_angle_gamma 90.00000

_symmetry_space_group_name_H-M 'P 1'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ga1 Ga 0.00000 0.00000 0.00000
Ga2 Ga 0.00000 0.50000 0.50000
Ga3 Ga 0.50000 0.00000 0.50000
Ga4 Ga 0.50000 0.50000 0.00000
As1 As 0.25000 0.25000 0.25000
As2 As 0.25000 0.75000 0.75000
As3 As 0.75000 0.25000 0.75000
As4 As 0.75000 0.75000 0.25000
```","data_GaAs_ZincBlende

_cell_length_a    5.65300
_cell_length_b    5.65300
_cell_length_c    5.65300
_cell_angle_alpha 90.00000
_cell_angle_beta  90.00000
_cell_angle_gamma 90.00000

_symmetry_space_group_name_H-M 'P 1'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ga1 Ga 0.00000 0.00000 0.00000
Ga2 Ga 0.00000 0.50000 0.50000
Ga3 Ga 0.50000 0.00000 0.50000
Ga4 Ga 0.50000 0.50000 0.00000
As1 As 0.25000 0.25000 0.25000
As2 As 0.25000 0.75000 0.75000
As3 As 0.75000 0.25000 0.75000
As4 As 0.75000 0.75000 0.25000",True,True
ZnO,186,4,gemini-3-pro-preview-thinking,"```cif
data_ZnO_wurtzite_P1

_cell_length_a 3.2498
_cell_length_b 3.2498
_cell_length_c 5.2066
_cell_angle_alpha 90.0
_cell_angle_beta 90.0
_cell_angle_gamma 120.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Zn1 Zn 0.333333 0.666667 0.000000
Zn2 Zn 0.666667 0.333333 0.500000
O1 O 0.333333 0.666667 0.382100
O2 O 0.666667 0.333333 0.882100
```","data_ZnO_wurtzite_P1

_cell_length_a 3.2498
_cell_length_b 3.2498
_cell_length_c 5.2066
_cell_angle_alpha 90.0
_cell_angle_beta 90.0
_cell_angle_gamma 120.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Zn1 Zn 0.333333 0.666667 0.000000
Zn2 Zn 0.666667 0.333333 0.500000
O1 O 0.333333 0.666667 0.382100
O2 O 0.666667 0.333333 0.882100",True,True
BN,194,4,gemini-3-pro-preview-thinking,"```cif
data_h-BN_most_stable
_cell_length_a 2.50400
_cell_length_b 2.50400
_cell_length_c 6.66100
_cell_angle_alpha 90.00000
_cell_angle_beta 90.00000
_cell_angle_gamma 120.00000
_symmetry_space_group_name_H-M 'P 1'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
B1 B 0.333333 0.666667 0.250000
N1 N 0.666667 0.333333 0.250000
B2 B 0.666667 0.333333 0.750000
N2 N 0.333333 0.666667 0.750000
```","data_h-BN_most_stable
_cell_length_a 2.50400
_cell_length_b 2.50400
_cell_length_c 6.66100
_cell_angle_alpha 90.00000
_cell_angle_beta 90.00000
_cell_angle_gamma 120.00000
_symmetry_space_group_name_H-M 'P 1'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
B1 B 0.333333 0.666667 0.250000
N1 N 0.666667 0.333333 0.250000
B2 B 0.666667 0.333333 0.750000
N2 N 0.333333 0.666667 0.750000",True,True
LiCoO2,227,16,gemini-3-pro-preview-thinking,"```cif
data_LiCoO2_P1
_cell_length_a 2.81600
_cell_length_b 2.81600
_cell_length_c 14.05000
_cell_angle_alpha 90.00000
_cell_angle_beta 90.00000
_cell_angle_gamma 120.00000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Li1 Li 0.00000 0.00000 0.00000
Li2 Li 0.66667 0.33333 0.33333
Li3 Li 0.33333 0.66667 0.66667
Co1 Co 0.00000 0.00000 0.50000
Co2 Co 0.66667 0.33333 0.83333
Co3 Co 0.33333 0.66667 0.16667
O1 O 0.00000 0.00000 0.24000
O2 O 0.00000 0.00000 0.76000
O3 O 0.66667 0.33333 0.57333
O4 O 0.66667 0.33333 0.09333
O5 O 0.33333 0.66667 0.90667
O6 O 0.33333 0.66667 0.42667
```","data_LiCoO2_P1
_cell_length_a 2.81600
_cell_length_b 2.81600
_cell_length_c 14.05000
_cell_angle_alpha 90.00000
_cell_angle_beta 90.00000
_cell_angle_gamma 120.00000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Li1 Li 0.00000 0.00000 0.00000
Li2 Li 0.66667 0.33333 0.33333
Li3 Li 0.33333 0.66667 0.66667
Co1 Co 0.00000 0.00000 0.50000
Co2 Co 0.66667 0.33333 0.83333
Co3 Co 0.33333 0.66667 0.16667
O1 O 0.00000 0.00000 0.24000
O2 O 0.00000 0.00000 0.76000
O3 O 0.66667 0.33333 0.57333
O4 O 0.66667 0.33333 0.09333
O5 O 0.33333 0.66667 0.90667
O6 O 0.33333 0.66667 0.42667",True,False
Bi2Te3,166,5,gemini-3-pro-preview-thinking,"```cif
data_Bi2Te3_P1
_cell_length_a 4.3835
_cell_length_b 4.3835
_cell_length_c 30.4870
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Bi1 Bi 0.333333 0.666667 0.065","```cif
data_Bi2Te3_P1
_cell_length_a 4.3835
_cell_length_b 4.3835
_cell_length_c 30.4870
_cell_angle_alpha 90
_cell_angle_beta 90
_cell_angle_gamma 120

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Bi1 Bi 0.333333 0.666667 0.065",True,False
Ba(FeAs)2,139,5,gemini-3-pro-preview-thinking,"```cif
data_BaFe2As2
_cell_length_a    3.9625
_cell_length_b    3.9625
_cell_length_c    13.0168
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 90.0
_symmetry_space_group_name_H-M 'P 1'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1 Ba 0.00000 0.00000 0.00000
Ba2 Ba 0.50000 0.50000 0.50000
Fe1 Fe 0.00000 0.50000 0.25000
Fe2 Fe 0.50000 0.00000 0.25000
Fe3 Fe 0.00000 0.50000 0.75000
Fe4 Fe 0.50000 0.00000 0.75000
As1 As 0.00000 0.00000 0.35450
As2 As 0.00000 0.00000 0.64550
As3 As 0.50000 0.50000 0.14550
As4 As 0.50000 0.50000 0.85450
```","data_BaFe2As2
_cell_length_a    3.9625
_cell_length_b    3.9625
_cell_length_c    13.0168
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 90.0
_symmetry_space_group_name_H-M 'P 1'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1 Ba 0.00000 0.00000 0.00000
Ba2 Ba 0.50000 0.50000 0.50000
Fe1 Fe 0.00000 0.50000 0.25000
Fe2 Fe 0.50000 0.00000 0.25000
Fe3 Fe 0.00000 0.50000 0.75000
Fe4 Fe 0.50000 0.00000 0.75000
As1 As 0.00000 0.00000 0.35450
As2 As 0.00000 0.00000 0.64550
As3 As 0.50000 0.50000 0.14550
As4 As 0.50000 0.50000 0.85450",True,True
SiO2,122,6,gemini-3-pro-preview-thinking,"```cif
data_alpha_quartz_P1
_cell_length_a 4.9130
_cell_length_b 4.9130
_cell_length_c 5.4050
_cell_angle_alpha 90.0000
_cell_angle_beta 90.0000
_cell_angle_gamma 120.0000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1 Si 0.46970 0.00000 0.00000
Si2 Si 0.00000 0.46970 0.33333
Si3 Si 0.53030 0.53030 0.66667
O1 O 0.41350 0.26690 0.11910
O2 O 0.73310 0.14660 0.45243
O3 O 0.85340 0.58650 0.78577
O4 O 0.26690 0.41350 0.88090
O5 O 0.58650 0.85340 0.21423
O6 O 0.14660 0.73310 0.54757
```","data_alpha_quartz_P1
_cell_length_a 4.9130
_cell_length_b 4.9130
_cell_length_c 5.4050
_cell_angle_alpha 90.0000
_cell_angle_beta 90.0000
_cell_angle_gamma 120.0000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1 Si 0.46970 0.00000 0.00000
Si2 Si 0.00000 0.46970 0.33333
Si3 Si 0.53030 0.53030 0.66667
O1 O 0.41350 0.26690 0.11910
O2 O 0.73310 0.14660 0.45243
O3 O 0.85340 0.58650 0.78577
O4 O 0.26690 0.41350 0.88090
O5 O 0.58650 0.85340 0.21423
O6 O 0.14660 0.73310 0.54757",True,False
VO2,136,6,gemini-3-pro-preview-thinking,"```cif
data_VO2_M1_P1
_cell_length_a 5.7517
_cell_length_b 4.5378
_cell_length_c 5.3825
_cell_angle_alpha 90.000
_cell_angle_beta 122.646
_cell_angle_gamma 90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
V1 V 0.23950 0.97900 0.02590
V2 V 0.76050 0.02100 0.97410
V3 V 0.76050 0.47900 0.47410
V4 V 0.23950 0.52100 0.52590
O1 O 0.10620 0.21180 0.20800
O2 O 0.89380 0.78820 0.79200
O3 O 0.89380 0.71180 0.29200
O4 O 0.10620 0.28820 0.70800
O5 O 0.39850 0.69880 0.29180
O6 O 0.60150 0.30120 0.70820
O7 O 0.60150 0.19880 0.20820
O8 O 0.39850 0.80120 0.79180
```","data_VO2_M1_P1
_cell_length_a 5.7517
_cell_length_b 4.5378
_cell_length_c 5.3825
_cell_angle_alpha 90.000
_cell_angle_beta 122.646
_cell_angle_gamma 90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
V1 V 0.23950 0.97900 0.02590
V2 V 0.76050 0.02100 0.97410
V3 V 0.76050 0.47900 0.47410
V4 V 0.23950 0.52100 0.52590
O1 O 0.10620 0.21180 0.20800
O2 O 0.89380 0.78820 0.79200
O3 O 0.89380 0.71180 0.29200
O4 O 0.10620 0.28820 0.70800
O5 O 0.39850 0.69880 0.29180
O6 O 0.60150 0.30120 0.70820
O7 O 0.60150 0.19880 0.20820
O8 O 0.39850 0.80120 0.79180",True,False
