formula,spg,n_atoms,model,gpt_raw,cif_text,parse_ok,gpt_match_gt
C,166,4,gpt-5-chat,"```cif
data_graphite
_audit_creation_method        'Generated by ChatGPT'
_chemical_name_common         'Graphite'
_chemical_formula_structural  'C'
_chemical_formula_sum         'C'
_publ_section_title           'Crystal structure of graphite'

_symmetry_space_group_name_H-M   'P63/mmc'
_symmetry_Int_Tables_number      194

_cell_length_a    2.4600
_cell_length_b    2.4600
_cell_length_c    6.7080
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 120
_cell_volume      35.30

loop_
 _symmetry_equiv_pos_as_xyz
  'x, y, z'
  '-y, x-y, z'
  '-x+y, -x, z'
  '-x, -y, -z'
  'y, -x+y, -z'
  'x-y, x, -z'

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_symmetry_multiplicity
 _atom_site_Wyckoff_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C1   C   4   f   1/3   2/3   0.0     1.0
  C2   C   4   f   2/3   1/3   0.5     1.0
```","data_graphite
_audit_creation_method        'Generated by ChatGPT'
_chemical_name_common         'Graphite'
_chemical_formula_structural  'C'
_chemical_formula_sum         'C'
_publ_section_title           'Crystal structure of graphite'

_symmetry_space_group_name_H-M   'P63/mmc'
_symmetry_Int_Tables_number      194

_cell_length_a    2.4600
_cell_length_b    2.4600
_cell_length_c    6.7080
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 120
_cell_volume      35.30

loop_
 _symmetry_equiv_pos_as_xyz
  'x, y, z'
  '-y, x-y, z'
  '-x+y, -x, z'
  '-x, -y, -z'
  'y, -x+y, -z'
  'x-y, x, -z'

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_symmetry_multiplicity
 _atom_site_Wyckoff_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C1   C   4   f   1/3   2/3   0.0     1.0
  C2   C   4   f   2/3   1/3   0.5     1.0",False,False
Si,227,2,gpt-5-chat,"```cif
data_Si
_symmetry_space_group_name_H-M   'F d -3 m'
_symmetry_Int_Tables_number      227
_cell_length_a                   5.431
_cell_length_b                   5.431
_cell_length_c                   5.431
_cell_angle_alpha                90
_cell_angle_beta                 90
_cell_angle_gamma                90
_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-x,-y,-z'
  'y,z,x'
  '-y,-z,-x'
  'z,x,y'
  '-z,-x,-y'
  'x, -y, -z'
  '-x, y, z'
  'y,-z,-x'
  '-y,z,x'
  'z,-x,-y'
  '-z,x,y'
# Silicon atoms, space group Fd-3m with conventional cubic cell
_atom_site_label   _atom_site_type_symbol   _atom_site_fract_x   _atom_site_fract_y   _atom_site_fract_z  
Si1                Si                      0.00000              0.00000              0.00000
Si2                Si                      0.25000              0.25000              0.25000
```","data_Si
_symmetry_space_group_name_H-M   'F d -3 m'
_symmetry_Int_Tables_number      227
_cell_length_a                   5.431
_cell_length_b                   5.431
_cell_length_c                   5.431
_cell_angle_alpha                90
_cell_angle_beta                 90
_cell_angle_gamma                90
_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-x,-y,-z'
  'y,z,x'
  '-y,-z,-x'
  'z,x,y'
  '-z,-x,-y'
  'x, -y, -z'
  '-x, y, z'
  'y,-z,-x'
  '-y,z,x'
  'z,-x,-y'
  '-z,x,y'
# Silicon atoms, space group Fd-3m with conventional cubic cell
_atom_site_label   _atom_site_type_symbol   _atom_site_fract_x   _atom_site_fract_y   _atom_site_fract_z  
Si1                Si                      0.00000              0.00000              0.00000
Si2                Si                      0.25000              0.25000              0.25000",False,False
GaAs,216,2,gpt-5-chat,"```cif
data_GaAs
_symmetry_space_group_name_H-M   'F 4 3 m'
_symmetry_space_group_name_Hall  'F 4 3 m'
_symmetry_Int_Tables_number      216

_cell_length_a                   5.65325
_cell_length_b                   5.65325
_cell_length_c                   5.65325
_cell_angle_alpha                90
_cell_angle_beta                 90
_cell_angle_gamma                90

_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-x,-y,-z'
  'y,z,x'
  '-y,-z,-x'
  'z,x,y'
  '-z,-x,-y'
  'x+1/2,y+1/2,z'
  '-x+1/2,-y+1/2,-z'
  'y+1/2,z+1/2,x'
  '-y+1/2,-z+1/2,-x'
  'z+1/2,x+1/2,y'
  '-z+1/2,-x+1/2,-y'
  'x,y+1/2,z+1/2'
  '-x,-y+1/2,-z+1/2'
  'y,z+1/2,x+1/2'
  '-y,-z+1/2,-x+1/2'
  'z,x+1/2,y+1/2'
  '-z,-x+1/2,-y+1/2'
  'x+1/2,y,z+1/2'
  '-x+1/2,-y,-z+1/2'
  'y+1/2,z,x+1/2'
  '-y+1/2,-z,-x+1/2'
  'z+1/2,x,y+1/2'
  '-z+1/2,-x,-y+1/2'

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ga1  Ga  0.00000  0.00000  0.00000  1.0
  As1  As  0.25000  0.25000  0.25000  1.0
```","data_GaAs
_symmetry_space_group_name_H-M   'F 4 3 m'
_symmetry_space_group_name_Hall  'F 4 3 m'
_symmetry_Int_Tables_number      216

_cell_length_a                   5.65325
_cell_length_b                   5.65325
_cell_length_c                   5.65325
_cell_angle_alpha                90
_cell_angle_beta                 90
_cell_angle_gamma                90

_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-x,-y,-z'
  'y,z,x'
  '-y,-z,-x'
  'z,x,y'
  '-z,-x,-y'
  'x+1/2,y+1/2,z'
  '-x+1/2,-y+1/2,-z'
  'y+1/2,z+1/2,x'
  '-y+1/2,-z+1/2,-x'
  'z+1/2,x+1/2,y'
  '-z+1/2,-x+1/2,-y'
  'x,y+1/2,z+1/2'
  '-x,-y+1/2,-z+1/2'
  'y,z+1/2,x+1/2'
  '-y,-z+1/2,-x+1/2'
  'z,x+1/2,y+1/2'
  '-z,-x+1/2,-y+1/2'
  'x+1/2,y,z+1/2'
  '-x+1/2,-y,-z+1/2'
  'y+1/2,z,x+1/2'
  '-y+1/2,-z,-x+1/2'
  'z+1/2,x,y+1/2'
  '-z+1/2,-x,-y+1/2'

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ga1  Ga  0.00000  0.00000  0.00000  1.0
  As1  As  0.25000  0.25000  0.25000  1.0",True,False
ZnO,186,4,gpt-5-chat,"```cif
data_ZnO
_symmetry_space_group_name_H-M           'P6_3mc'
_symmetry_Int_Tables_number              186

_cell_length_a                           3.249
_cell_length_b                           3.249
_cell_length_c                           5.206
_cell_angle_alpha                        90
_cell_angle_beta                         90
_cell_angle_gamma                        120

_symmetry_equiv_pos_as_xyz
  'x, y, z'
  '-x, -y, z+1/2'
  '-y, x-y, z'
  'y, -x+y, z+1/2'
  '-x+y, -x, z'
  'x-y, x, z+1/2'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Zn  Zn  0.00000  0.00000  0.00000  1.0
O   O   0.00000  0.00000  0.38250  1.0
```","data_ZnO
_symmetry_space_group_name_H-M           'P6_3mc'
_symmetry_Int_Tables_number              186

_cell_length_a                           3.249
_cell_length_b                           3.249
_cell_length_c                           5.206
_cell_angle_alpha                        90
_cell_angle_beta                         90
_cell_angle_gamma                        120

_symmetry_equiv_pos_as_xyz
  'x, y, z'
  '-x, -y, z+1/2'
  '-y, x-y, z'
  'y, -x+y, z+1/2'
  '-x+y, -x, z'
  'x-y, x, z+1/2'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy
Zn  Zn  0.00000  0.00000  0.00000  1.0
O   O   0.00000  0.00000  0.38250  1.0",True,False
BN,194,4,gpt-5-chat,"```cif
data_BN
_symmetry_space_group_name_H-M   ""F-43m""
_symmetry_Int_Tables_number      216
_cell_length_a                   3.615
_cell_length_b                   3.615
_cell_length_c                   3.615
_cell_angle_alpha                90
_cell_angle_beta                 90
_cell_angle_gamma                90
_cell_volume                     47.185
_cell_formula_units_Z            4

loop_
  _symmetry_equiv_pos_as_xyz
    x,y,z
    x,-y,-z
    -x,y,-z
    -x,-y,z
    y,z,x
    y,-z,-x
    -y,z,-x
    -y,-z,x
    z,x,y
    z,-x,-y
    -z,x,-y
    -z,-x,y
    y,x,z
    y,-x,-z
    -y,x,-z
    -y,-x,z
    z,y,x
    z,-y,-x
    -z,y,-x
    -z,-y,x
    x,z,y
    x,-z,-y
    -x,z,-y
    -x,-z,y

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
    B   B   0.00000   0.00000   0.00000   1.0
    N   N   0.25000   0.25000   0.25000   1.0
```","data_BN
_symmetry_space_group_name_H-M   ""F-43m""
_symmetry_Int_Tables_number      216
_cell_length_a                   3.615
_cell_length_b                   3.615
_cell_length_c                   3.615
_cell_angle_alpha                90
_cell_angle_beta                 90
_cell_angle_gamma                90
_cell_volume                     47.185
_cell_formula_units_Z            4

loop_
  _symmetry_equiv_pos_as_xyz
    x,y,z
    x,-y,-z
    -x,y,-z
    -x,-y,z
    y,z,x
    y,-z,-x
    -y,z,-x
    -y,-z,x
    z,x,y
    z,-x,-y
    -z,x,-y
    -z,-x,y
    y,x,z
    y,-x,-z
    -y,x,-z
    -y,-x,z
    z,y,x
    z,-y,-x
    -z,y,-x
    -z,-y,x
    x,z,y
    x,-z,-y
    -x,z,-y
    -x,-z,y

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
    B   B   0.00000   0.00000   0.00000   1.0
    N   N   0.25000   0.25000   0.25000   1.0",True,False
LiCoO2,227,16,gpt-5-chat,"```cif
data_LiCoO2
_symmetry_space_group_name_H-M    'R-3m'
_symmetry_Int_Tables_number       166

_cell_length_a    2.815
_cell_length_b    2.815
_cell_length_c    14.05
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 120

_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-y,x-y,z'
  '-x+y,-x,z'
  'y,x,-z'
  'x-y,-y,-z'
  '-x,-x+y,-z'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_symmetry_multiplicity
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z

Li  Li  3  0.0000  0.0000  0.3333
Co  Co  3  0.0000  0.0000  0.0000
O   O   6  0.0000  0.0000  0.2410
```","data_LiCoO2
_symmetry_space_group_name_H-M    'R-3m'
_symmetry_Int_Tables_number       166

_cell_length_a    2.815
_cell_length_b    2.815
_cell_length_c    14.05
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 120

_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-y,x-y,z'
  '-x+y,-x,z'
  'y,x,-z'
  'x-y,-y,-z'
  '-x,-x+y,-z'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_symmetry_multiplicity
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z

Li  Li  3  0.0000  0.0000  0.3333
Co  Co  3  0.0000  0.0000  0.0000
O   O   6  0.0000  0.0000  0.2410",True,False
Bi2Te3,166,5,gpt-5-chat,"```cif
data_Bi2Te3
_audit_creation_method 'Generated by AI crystallographer'
_chemical_name_common 'Bismuth telluride'
_chemical_formula_sum 'Bi2 Te3'

_cell_length_a              4.386
_cell_length_b              4.386
_cell_length_c             30.497
_cell_angle_alpha          90
_cell_angle_beta           90
_cell_angle_gamma         120
_cell_volume              507.03
_cell_formula_units_Z      3

_symmetry_space_group_name_H-M   'R-3m'
_symmetry_Int_Tables_number      166

loop_
_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-y,x-y,z'
  '-x+y,-x,z'
  '-x,-y,-z'
  'y,-x+y,-z'
  'x-y,x,-z'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy

Bi1  Bi  0.00000  0.00000  0.40000  1.0
Te1  Te  0.00000  0.00000  0.20952  1.0
Te2  Te  0.00000  0.00000  0.00000  1.0
```","data_Bi2Te3
_audit_creation_method 'Generated by AI crystallographer'
_chemical_name_common 'Bismuth telluride'
_chemical_formula_sum 'Bi2 Te3'

_cell_length_a              4.386
_cell_length_b              4.386
_cell_length_c             30.497
_cell_angle_alpha          90
_cell_angle_beta           90
_cell_angle_gamma         120
_cell_volume              507.03
_cell_formula_units_Z      3

_symmetry_space_group_name_H-M   'R-3m'
_symmetry_Int_Tables_number      166

loop_
_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-y,x-y,z'
  '-x+y,-x,z'
  '-x,-y,-z'
  'y,-x+y,-z'
  'x-y,x,-z'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
_atom_site_occupancy

Bi1  Bi  0.00000  0.00000  0.40000  1.0
Te1  Te  0.00000  0.00000  0.20952  1.0
Te2  Te  0.00000  0.00000  0.00000  1.0",True,False
Ba(FeAs)2,139,5,gpt-5-chat,"```cif
data_BaFe2As2
_audit_creation_method          'Generated by AI crystallographer'
_chemical_name_common           'Barium iron arsenide'
_chemical_formula_sum           'Ba Fe2 As2'

_symmetry_space_group_name_H-M  'I 4/mmm'
_symmetry_Int_Tables_number     139

_cell_length_a                  3.9625
_cell_length_b                  3.9625
_cell_length_c                  13.0168
_cell_angle_alpha               90
_cell_angle_beta                90
_cell_angle_gamma               90

loop_
_symmetry_equiv_pos_as_xyz
  'x, y, z'
  '-x, -y, z'
  '-y, x, -z'
  'y, -x, -z'
  '-x, y, -z'
  'x, -y, -z'
  'y, x, z'
  '-y, -x, z'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_symmetry_multiplicity
_atom_site_Wyckoff_label
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1   Ba   2  a  0.00000  0.00000  0.00000
Fe1   Fe   4  d  0.00000  0.50000  0.25000
As1   As   4  e  0.00000  0.00000  0.35450
```","data_BaFe2As2
_audit_creation_method          'Generated by AI crystallographer'
_chemical_name_common           'Barium iron arsenide'
_chemical_formula_sum           'Ba Fe2 As2'

_symmetry_space_group_name_H-M  'I 4/mmm'
_symmetry_Int_Tables_number     139

_cell_length_a                  3.9625
_cell_length_b                  3.9625
_cell_length_c                  13.0168
_cell_angle_alpha               90
_cell_angle_beta                90
_cell_angle_gamma               90

loop_
_symmetry_equiv_pos_as_xyz
  'x, y, z'
  '-x, -y, z'
  '-y, x, -z'
  'y, -x, -z'
  '-x, y, -z'
  'x, -y, -z'
  'y, x, z'
  '-y, -x, z'

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_symmetry_multiplicity
_atom_site_Wyckoff_label
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1   Ba   2  a  0.00000  0.00000  0.00000
Fe1   Fe   4  d  0.00000  0.50000  0.25000
As1   As   4  e  0.00000  0.00000  0.35450",True,False
SiO2,122,6,gpt-5-chat,"```cif
data_SiO2
_symmetry_space_group_name_H-M          'P 3 2 1'
_symmetry_space_group_name_H-M_alt      'P3_121'
_symmetry_Int_Tables_number             152
_cell_length_a                          4.913
_cell_length_b                          4.913
_cell_length_c                          5.405
_cell_angle_alpha                       90
_cell_angle_beta                        90
_cell_angle_gamma                       120
_cell_volume                            113.056
_cell_formula_units_Z                   3

_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-x,-y,z+1/3'
  '-y,x-y,z+2/3'
  'y,x,-z'
  '-x,y-x,-z+1/3'
  'x-y,-y,-z+2/3'

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
Si1   Si   0.4697   0.0000   0.0000   1
O1    O    0.4130   0.2670   0.1180   1
O2    O    0.2670   0.1460   0.5420   1
```","data_SiO2
_symmetry_space_group_name_H-M          'P 3 2 1'
_symmetry_space_group_name_H-M_alt      'P3_121'
_symmetry_Int_Tables_number             152
_cell_length_a                          4.913
_cell_length_b                          4.913
_cell_length_c                          5.405
_cell_angle_alpha                       90
_cell_angle_beta                        90
_cell_angle_gamma                       120
_cell_volume                            113.056
_cell_formula_units_Z                   3

_symmetry_equiv_pos_as_xyz
  'x,y,z'
  '-x,-y,z+1/3'
  '-y,x-y,z+2/3'
  'y,x,-z'
  '-x,y-x,-z+1/3'
  'x-y,-y,-z+2/3'

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
Si1   Si   0.4697   0.0000   0.0000   1
O1    O    0.4130   0.2670   0.1180   1
O2    O    0.2670   0.1460   0.5420   1",True,False
VO2,136,6,gpt-5-chat,,,False,False
