formula,spg,n_atoms,model,gpt_raw,cif_text,parse_ok,gpt_match_gt
C,166,4,gpt-5-chat,"```cif
data_graphite_P1
_cell_length_a    2.460
_cell_length_b    2.460
_cell_length_c    6.708
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
C1  C  0.000000  0.000000  0.000000
C2  C  0.333333  0.666667  0.000000
C3  C  0.000000  0.000000  0.500000
C4  C  0.333333  0.666667  0.500000
```","data_graphite_P1
_cell_length_a    2.460
_cell_length_b    2.460
_cell_length_c    6.708
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
C1  C  0.000000  0.000000  0.000000
C2  C  0.333333  0.666667  0.000000
C3  C  0.000000  0.000000  0.500000
C4  C  0.333333  0.666667  0.500000",True,False
Si,227,2,gpt-5-chat,"```cif
data_Si_P1
_cell_length_a    5.431
_cell_length_b    5.431
_cell_length_c    5.431
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 90

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 Si1  Si  0.0000  0.0000  0.0000
 Si2  Si  0.0000  0.5000  0.5000
 Si3  Si  0.5000  0.0000  0.5000
 Si4  Si  0.5000  0.5000  0.0000
 Si5  Si  0.2500  0.2500  0.2500
 Si6  Si  0.2500  0.7500  0.7500
 Si7  Si  0.7500  0.2500  0.7500
 Si8  Si  0.7500  0.7500  0.2500
```","data_Si_P1
_cell_length_a    5.431
_cell_length_b    5.431
_cell_length_c    5.431
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 90

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 Si1  Si  0.0000  0.0000  0.0000
 Si2  Si  0.0000  0.5000  0.5000
 Si3  Si  0.5000  0.0000  0.5000
 Si4  Si  0.5000  0.5000  0.0000
 Si5  Si  0.2500  0.2500  0.2500
 Si6  Si  0.2500  0.7500  0.7500
 Si7  Si  0.7500  0.2500  0.7500
 Si8  Si  0.7500  0.7500  0.2500",True,True
GaAs,216,2,gpt-5-chat,"```cif
data_GaAs_P1
_cell_length_a    5.653
_cell_length_b    5.653
_cell_length_c    5.653
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 90

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 Ga1  Ga  0.0000  0.0000  0.0000
 Ga2  Ga  0.0000  0.5000  0.5000
 Ga3  Ga  0.5000  0.0000  0.5000
 Ga4  Ga  0.5000  0.5000  0.0000
 As1  As  0.2500  0.2500  0.2500
 As2  As  0.2500  0.7500  0.7500
 As3  As  0.7500  0.2500  0.7500
 As4  As  0.7500  0.7500  0.2500
```","data_GaAs_P1
_cell_length_a    5.653
_cell_length_b    5.653
_cell_length_c    5.653
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 90

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 Ga1  Ga  0.0000  0.0000  0.0000
 Ga2  Ga  0.0000  0.5000  0.5000
 Ga3  Ga  0.5000  0.0000  0.5000
 Ga4  Ga  0.5000  0.5000  0.0000
 As1  As  0.2500  0.2500  0.2500
 As2  As  0.2500  0.7500  0.7500
 As3  As  0.7500  0.2500  0.7500
 As4  As  0.7500  0.7500  0.2500",True,True
ZnO,186,4,gpt-5-chat,"```cif
data_ZnO_P1
_cell_length_a    3.249
_cell_length_b    3.249
_cell_length_c    5.206
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  Zn1   Zn   0.0000   0.0000   0.0000
  O1    O    0.3333   0.6667   0.3820
  Zn2   Zn   0.3333   0.6667   0.5000
  O2    O    0.0000   0.0000   0.8820
```","data_ZnO_P1
_cell_length_a    3.249
_cell_length_b    3.249
_cell_length_c    5.206
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
  _atom_site_label
  _atom_site_type_symbol
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  Zn1   Zn   0.0000   0.0000   0.0000
  O1    O    0.3333   0.6667   0.3820
  Zn2   Zn   0.3333   0.6667   0.5000
  O2    O    0.0000   0.0000   0.8820",True,True
BN,194,4,gpt-5-chat,"```cif
data_BN_P1
_cell_length_a    2.504
_cell_length_b    2.504
_cell_length_c    6.600
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 B1  B  0.0000  0.0000  0.0000
 N1  N  0.3333  0.6667  0.0000
 B2  B  0.0000  0.0000  0.5000
 N2  N  0.3333  0.6667  0.5000
```","data_BN_P1
_cell_length_a    2.504
_cell_length_b    2.504
_cell_length_c    6.600
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 B1  B  0.0000  0.0000  0.0000
 N1  N  0.3333  0.6667  0.0000
 B2  B  0.0000  0.0000  0.5000
 N2  N  0.3333  0.6667  0.5000",True,False
LiCoO2,227,16,gpt-5-chat,"```cif
data_LiCoO2_P1
_cell_length_a    2.815
_cell_length_b    2.815
_cell_length_c    14.05
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 120

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 Li1  Li   0.0000  0.0000  0.0000
 Co1  Co   0.0000  0.0000  0.5000
 O1   O    0.0000  0.5000  0.5800
 O2   O    0.5000  0.0000  0.5800
 O3   O    0.5000  0.5000  0.5800
 O4   O    0.0000  0.5000  0.4200
 O5   O    0.5000  0.0000  0.4200
 O6   O    0.5000  0.5000  0.4200
```","data_LiCoO2_P1
_cell_length_a    2.815
_cell_length_b    2.815
_cell_length_c    14.05
_cell_angle_alpha 90
_cell_angle_beta  90
_cell_angle_gamma 120

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 Li1  Li   0.0000  0.0000  0.0000
 Co1  Co   0.0000  0.0000  0.5000
 O1   O    0.0000  0.5000  0.5800
 O2   O    0.5000  0.0000  0.5800
 O3   O    0.5000  0.5000  0.5800
 O4   O    0.0000  0.5000  0.4200
 O5   O    0.5000  0.0000  0.4200
 O6   O    0.5000  0.5000  0.4200",True,False
Bi2Te3,166,5,gpt-5-chat,"```cif
data_Bi2Te3_P1
_cell_length_a    4.386
_cell_length_b    4.386
_cell_length_c    30.497
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
Bi1  Bi  0.00000  0.00000  0.00000
Bi2  Bi  0.33333  0.66667  0.40000
Bi3  Bi  0.66667  0.33333  0.60000
Te1  Te  0.00000  0.00000  0.21200
Te2  Te  0.00000  0.00000  0.78800
Te3  Te  0.33333  0.66667  0.01200
Te4  Te  0.33333  0.66667  0.18800
Te5  Te  0.66667  0.33333  0.81200
Te6  Te  0.66667  0.33333  0.98800
Bi4  Bi  0.00000  0.00000  0.20000
Bi5  Bi  0.33333  0.66667  0.80000
```","data_Bi2Te3_P1
_cell_length_a    4.386
_cell_length_b    4.386
_cell_length_c    30.497
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
Bi1  Bi  0.00000  0.00000  0.00000
Bi2  Bi  0.33333  0.66667  0.40000
Bi3  Bi  0.66667  0.33333  0.60000
Te1  Te  0.00000  0.00000  0.21200
Te2  Te  0.00000  0.00000  0.78800
Te3  Te  0.33333  0.66667  0.01200
Te4  Te  0.33333  0.66667  0.18800
Te5  Te  0.66667  0.33333  0.81200
Te6  Te  0.66667  0.33333  0.98800
Bi4  Bi  0.00000  0.00000  0.20000
Bi5  Bi  0.33333  0.66667  0.80000",True,False
Ba(FeAs)2,139,5,gpt-5-chat,"```cif
data_BaFe2As2_P1
_cell_length_a   5.620
_cell_length_b   5.570
_cell_length_c  12.950
_cell_angle_alpha  90.0
_cell_angle_beta   90.0
_cell_angle_gamma  90.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1  Ba  0.0000  0.0000  0.0000
Fe1  Fe  0.5000  0.0000  0.2500
Fe2  Fe  0.0000  0.5000  0.7500
As1  As  0.5000  0.0000  0.3650
As2  As  0.0000  0.5000  0.1350
```","data_BaFe2As2_P1
_cell_length_a   5.620
_cell_length_b   5.570
_cell_length_c  12.950
_cell_angle_alpha  90.0
_cell_angle_beta   90.0
_cell_angle_gamma  90.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1  Ba  0.0000  0.0000  0.0000
Fe1  Fe  0.5000  0.0000  0.2500
Fe2  Fe  0.0000  0.5000  0.7500
As1  As  0.5000  0.0000  0.3650
As2  As  0.0000  0.5000  0.1350",True,False
SiO2,122,6,gpt-5-chat,"```cif
data_SiO2_alpha_quartz_P1
_cell_length_a    4.913
_cell_length_b    4.913
_cell_length_c    5.405
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1  Si  0.4697  0.0000  0.0000
Si2  Si  0.0000  0.4697  0.6667
Si3  Si  0.5303  0.5303  0.3333
Si4  Si  0.4697  0.0000  0.5000
Si5  Si  0.0000  0.4697  0.1667
Si6  Si  0.5303  0.5303  0.8333
O1   O   0.4133  0.2667  0.1188
O2   O   0.1466  0.6800  0.4521
O3   O   0.6800  0.1466  0.7854
O4   O   0.5867  0.8533  0.6188
O5   O   0.3200  0.2667  0.9521
O6   O   0.8533  0.7333  0.2854
O7   O   0.4133  0.2667  0.6188
O8   O   0.1466  0.6800  0.9521
O9   O   0.6800  0.1466  0.2854
O10  O   0.5867  0.8533  0.1188
O11  O   0.3200  0.2667  0.4521
O12  O   0.8533  0.7333  0.7854
```","data_SiO2_alpha_quartz_P1
_cell_length_a    4.913
_cell_length_b    4.913
_cell_length_c    5.405
_cell_angle_alpha 90.0
_cell_angle_beta  90.0
_cell_angle_gamma 120.0

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1  Si  0.4697  0.0000  0.0000
Si2  Si  0.0000  0.4697  0.6667
Si3  Si  0.5303  0.5303  0.3333
Si4  Si  0.4697  0.0000  0.5000
Si5  Si  0.0000  0.4697  0.1667
Si6  Si  0.5303  0.5303  0.8333
O1   O   0.4133  0.2667  0.1188
O2   O   0.1466  0.6800  0.4521
O3   O   0.6800  0.1466  0.7854
O4   O   0.5867  0.8533  0.6188
O5   O   0.3200  0.2667  0.9521
O6   O   0.8533  0.7333  0.2854
O7   O   0.4133  0.2667  0.6188
O8   O   0.1466  0.6800  0.9521
O9   O   0.6800  0.1466  0.2854
O10  O   0.5867  0.8533  0.1188
O11  O   0.3200  0.2667  0.4521
O12  O   0.8533  0.7333  0.7854",True,False
VO2,136,6,gpt-5-chat,"```cif
data_VO2_P1
_cell_length_a    5.752
_cell_length_b    4.538
_cell_length_c    5.383
_cell_angle_alpha 90.0
_cell_angle_beta  122.6
_cell_angle_gamma 90.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
V1   V   0.2330   0.0240   0.0210
V2   V   0.7670   0.5240   0.5210
O1   O   0.1050   0.3170   0.2050
O2   O   0.3950   0.8170   0.2950
O3   O   0.6050   0.1830   0.7050
O4   O   0.8950   0.6830   0.7950
```","data_VO2_P1
_cell_length_a    5.752
_cell_length_b    4.538
_cell_length_c    5.383
_cell_angle_alpha 90.0
_cell_angle_beta  122.6
_cell_angle_gamma 90.0

loop_
 _atom_site_label
 _atom_site_type_symbol
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
V1   V   0.2330   0.0240   0.0210
V2   V   0.7670   0.5240   0.5210
O1   O   0.1050   0.3170   0.2050
O2   O   0.3950   0.8170   0.2950
O3   O   0.6050   0.1830   0.7050
O4   O   0.8950   0.6830   0.7950",True,False
